summary_id,recent_item_id,document_id,source_id,institution_id,institution_name,item_title,item_date,item_url,strategic_theme,product_area,development_type,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,confidence_level,extracted_facts_json,open_questions_json,created_at,llm_model,review_status,raw_llm_response_path,error_message,cluster_id,cluster_status,covered_by_cluster,suppress_individual_review,suppression_reason,language_lint_score,language_lint_warnings,needs_language_review,needs_rewrite,source_url,relevance_status
SUM-e36232ed50fc,RI-f8fcc7126aad,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Türkiye 2025 İklim Değişikliği ve Doğa Raporu,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/dunyadaki-27-triple-a-seviyesindeki-sirketten-5i-turkiyeden,Kurumsal Konumlandırma,Diğer,Rapor / Araştırma,"Garanti BBVA, CDP İklim Raporu'nda Türkiye'den 5 Triple A Şirketinden Biri","Garanti BBVA, CDP Türkiye 2025 İklim Değişikliği ve Doğa Raporu'nda ana sponsor olarak yer aldı. Rapor, Türkiye'deki 45 şirketin Küresel A Listesi'nde yer aldığını ve 5 şirketin Triple A seviyesine ulaştığını gösteriyor.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibar ve ESG konumlandırmasını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital yolculuk tarafında pratik bir sonuç üretmiyor. Rapor, genel sektör olgunluğu hakkında bilgi veriyor; Akbank KOBİ stratejisine doğrudan etki yok.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, CDP Türkiye 16. İklim Değişikliği & Doğa Konferansı'nın ana sponsoru."", ""Rapor 15 Mayıs 2026'da açıklandı; duyuru tarihi 20 Mayıs 2026."", ""Türkiye'den 45 şirket Küresel A Listesi'nde yer aldı."", ""Dünyada 27 şirketten 5'i Türkiye'den Triple A seviyesine ulaştı."", ""Türkiye'deki şirketler iklim yönetiminde %82, su yönetiminde %87, ormansızlaşmada %70 liderlik seviyesinde."", ""Lider şirketler, çevresel yatırımda 1 dolar başına 4 dolar finansal değer yaratıyor; düşük performans gösteren şirketlerde bu oran 0, 07 dolar."", ""Raporlamada olgunluk yüksek; ama uygulamada (fosil yakıttan çıkış, SBTi doğrulama, dahili karbon fiyatlandırması) boşluklar var.""]","[""Garanti BBVA bu sponsorluğu neden seçti? (Kurumsal itibar, ESG hedefleri, müşteri kazanımı?)"", ""Rapordaki 5 Triple A şirket arasında Garanti BBVA var mı? (Kaynakta açıkça belirtilmemiş.)"", ""Bu rapor Garanti'nin KOBİ müşterilerine yönelik herhangi bir ürün veya hizmet değişikliğine yol açacak mı?""]",2026-06-16T11:37:51.787092+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-bf46e941e3bd,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-7a515d33bfd9,RI-4ddd18aa0015,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Global Finance Türkiye’nin En İyi Bankası Ödülü,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül, finansal performans, sürdürülebilir büyüme ve müşteri odaklı inovasyona dayalı olarak verildi.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik kurumsal itibar ve yönetim görünürlüğü sağlıyor olabilir, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Ödül haberi müşteri kazanımı, ürün yeniliği veya fiyat stratejisi değişikliğini göstermez.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, Global Finance World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi."", ""Ödül, kârlılık, büyüme, stratejik vizyon, inovasyon kapasitesi ve müşteri ihtiyaçlarına yanıt verme becerisi kriterlerine göre verildi."", ""Garanti BBVA'nın 30 milyonu aşan müşteri tabanı ve 18 milyonu aşan aktif mobil müşterisi bulunuyor."", ""Perakende satışlarının %89'u dijital kanallar üzerinden gerçekleştiriliyor."", ""2018-2029 dönemi için 3, 5 trilyon TL sürdürülebilir finansman hedefi belirlendi.""]","[""Bu ödülün Garanti BBVA'nın KOBİ müşteri kazanımında pratik bir etkisi olacak mı?"", ""Ödül duyurusu, KOBİ satış kampanyasına veya fiyat stratejisine yansıyacak mı?""]",2026-06-16T11:37:58.894403+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-f09ecebc67dd,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-3711e590bbe0,RI-453a32b9cd67,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Salt 15 Yıldır Kültür Mirasını Geleceğe Taşıyor,22 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/salt-15-yildir-kultur-mirasini-gelecege-tasiyor,Kurumsal Konumlandırma,Diğer,İlgili Gelişme Yok,"Garanti BBVA, Salt Kültür Kurumu'nun 15. Yılını Duyurdu","Garanti BBVA, 2011'de kurduğu Salt kültür ve araştırma kurumunun 15. yılını kutluyor.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal sosyal sorumluluk ve kültür yatırımı konusundaki konumlandırmasını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi, ödemeler veya dijital edinim tarafında pratik bir sonuç üretmiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Salt, Garanti BBVA tarafından 2011'de kuruldu."", ""15 yılda yaklaşık 5 milyon ziyaretçi ağırlandı."", ""2 milyonu aşkın belge ve kaynaktan oluşan arşiv koleksiyonları kamusal erişime açıldı."", ""Salt Beyoğlu ve Salt Galata mekânları ile dijital platformlar ücretsiz erişim sunuyor."", ""Salt Araştırma Fonları 2013'ten bu yana 80'in üzerinde projeye destek verdi."", ""2025'te Garanti BBVA Ekonomi Tarihi Fonu hayata geçirildi.""]","[""Bu PR haberinin KOBİ müşteri kazanımı veya ürün stratejisine herhangi bir bağlantısı var mı?"", ""Garanti BBVA, Salt aracılığıyla KOBİ segmentine yönelik bir iş birliği veya ürün entegrasyonu planlıyor mu?""]",2026-06-16T11:38:09.460934+00:00,claude-haiku-4-5-20251001,Beklemede,,,,Küme Yok,False,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-6d59db9a3629,RI-975507b1b15c,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,01 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,Kurumsal Konumlandırma,Diğer,Yönetim Açıklaması,"Garanti BBVA Leasing, sürdürülebilirlikle bağlantılı kredi ve IRS işlemi gerçekleştirdi","Garanti BBVA ile Garanti BBVA Leasing arasında imzalanan sürdürülebilirlik çerçeve mutabakatı içinde 2 milyar TL tutarında IRS işlemi ve 5 milyon euro tutarında kredi işlemi yapıldı. İşlemler, sürdürülebilirlik performans kriterlerini finansman ve risk yönetimi süreçlerine entegre etti.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal ESG konumlandırması için bir görünürlük hamlesi. KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital yolculuk tarafında pratik bir ürün, kanal veya fiyat değişikliği içermiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA Leasing ile Garanti BBVA arasında sürdürülebilirlik çerçeve mutabakatı imzalandı"", ""2 milyar TL tutarında sürdürülebilirlikle bağlantılı IRS (faiz swap) işlemi gerçekleştirildi"", ""5 milyon euro tutarında sürdürülebilirlikle bağlantılı kredi (SLL) işlemi gerçekleştirildi"", ""İşlemler Garanti BBVA Leasing'in ilk SLL ve IRS işlemi olma özelliği taşıyor"", ""Duyuru tarihi: 1 Haziran 2026""]","[""Bu işlemler Garanti BBVA'nın KOBİ kredi portföyü stratejisinde bir değişiklik sinyali veriyor mu?"", ""Benzer sürdürülebilirlik bağlantılı ürünler KOBİ müşterilerine sunuluyor mu?""]",2026-06-16T11:38:17.143254+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-03c6dd9f69f3,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-b39deaa096c9,RI-f2f1685394b7,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Global Summit of Women 2026,8 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,"Garanti BBVA, Global Summit of Women'da kadın girişimciliği deneyimini paylaştı","Garanti BBVA, İstanbul'da düzenlenen Global Summit of Women 2026'de ana destekçi olarak yer aldı ve kadın girişimciliğe için 20 yıllık destek modelini uluslararası katılımcılarla paylaştı. Kurumun yöneticileri ve desteklediği girişimciler, ekonomik büyüme ve kapsayıcı kalkınma konularında panel ve oturumlarda konuşmacı olarak yer aldı.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibarını ve sosyal sorumluluk konumlandırmasını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi, dijital yolculuk veya gömülü finans tarafında pratik bir ürün veya satış hamlesi içermiyor. Akbank için BD aksiyonu zayıf.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, Global Summit of Women 2026'nin ana destekçilerinden biri."", ""Zirve 4-6 Haziran 2026'de İstanbul'da gerçekleşti."", ""Garanti BBVA Genel Müdür Yardımcısı Sibel Kaya, 'Türkiye'de Ticaret Yapmak' oturumunda konuşmacı oldu."", ""Garanti BBVA, son 5 yılda kadın girişimcilere 350 milyar TL finansman sağladığını belirtti."", ""Kurumun kadın girişimciliğe yönelik desteği dört alanda yapılıyor: finansman, eğitim, cesaretlendirme, pazara erişim."", ""Garanti BBVA destekli girişimciler (Nebyan Doğal, Mol-E) zirvenin farklı oturumlarında yer aldı."", ""Garanti BBVA, Techstars iş birliği ve Startup Weekend Women platformlarında kadın girişimcileri destekliyor.""]","[""Bu zirve katılımı Garanti BBVA'nın KOBİ kredi portföyü veya mevduat tabanında somut bir artışa yol açacak mı?"", ""Uluslararası platformlardaki bu görünürlük, Akbank'ın KOBİ müşteri kazanımında bir dezavantaj oluşturuyor mu?""]",2026-06-16T11:38:27.225071+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-f09ecebc67dd,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-d47e989d6bd1,RI-2b0df05d9558,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA Sürdürülebilir Sendikasyon Kredisi,11 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi,Kurumsal Konumlandırma,Diğer,Yönetim Açıklaması,Garanti BBVA ilk tematik sendikasyon kredisini aldı,"Garanti BBVA, 15 ülkeden 32 finansal kurumun katılımıyla adil geçiş temalı sürdürülebilirlik sendikasyon kredisi sağladı. Toplam 257,75 milyon dolar ve 65,5 milyon avro tutarında, 367 gün ile 36 ay arası vadeli kredi anlaşması imzalandı.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibar ve ESG konumlandırmasını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Akbank KOBİ stratejisine doğrudan etkisi yok.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, 11 Haziran 2026'da adil geçiş temalı sendikasyon kredisi anlaşması imzaladı"", ""15 ülkeden 32 finansal kurumun katılımı sağlandı"", ""Toplam 32, 5 milyon dolar + 23, 5 milyon avro (367 gün), 105, 25 milyon dolar + 40 milyon avro (24 ay 2 gün), 87, 5 milyon dolar + 2 milyon avro (36 ay 2 gün) tutarında kredi"", ""Fiyatlandırma: 367 gün SOFR+%1, 25 / Euribor+%1, 10; 24 ay SOFR+%1, 75 / Euribor+%1, 60; 36 ay SOFR+%2, 00 / Euribor+%1, 80"", ""Kaynaklar, Garanti BBVA'nın Sürdürülebilir Borç Finansmanı Çerçevesi'ne uygun projelerin finansmanında kullanılacak"", ""Banka Genel Müdürü Mahmut Akten tarafından yapılan açıklamada kurumsal finansal güç ve sürdürülebilir finans taahhüdü vurgulandı""]","[""Bu sendikasyon kredisinin Garanti BBVA'nın KOBİ kredi portföyü veya mevduat stratejisine doğrudan etkisi var mı?"", ""Adil geçiş temalı finansman, Garanti BBVA'nın KOBİ müşterilerine sunulan ürün veya fiyatlandırmada değişiklik getiriyor mu?""]",2026-06-16T11:38:38.501263+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-03c6dd9f69f3,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-b1160e3116e8,RI-a1196981f113,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Kadın Girişimcilerin Finansmana Erişimi İçin Yeni Destek,12 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,KOBİ Kredileri,KOBİ Kredileri,Kampanya,"Garanti BBVA, Kadın Girişimcilere 2 Milyar TL Kefalet Desteği","Garanti BBVA, Kredi Garanti Fonu iş birliğiyle %50 ve üzeri kadın sahipliği olan KOBİ'lere için 2 milyar TL kefalet limiti ile yeni kredi destek paketini başlattı. Kadın girişimciler en fazla 10 milyon TL'ye kadar kredi kullanabilecek ve %80 kefalet desteğinden yararlanacak.","Garanti BBVA, kredi ürününü kadın girişimci segmentine hedefli kefalet desteğiyle sunuyor; KOBİ kredi portföyü büyütme taktiği.","Bu haberin önemi, Garanti'nin teminata erişimde zorlanan KOBİ segmentine doğrudan kredi çözümü sunması. Akbank için asıl soru, benzer hedefli kefalet/kredi paketlerinin yeni KOBİ kazanımında ne kadar etkili olduğu ve kadın girişimci segmentinde Akbank'ın mevcut pozisyonu.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA, Kredi Garanti Fonu ile iş birliği yapıyor."", ""Toplam kefalet limiti 2 milyar TL."", ""Hedef: %50 ve üzeri kadın sahipliği olan tüzel ve şahıs firmalar."", ""Maksimum kredi tutarı 10 milyon TL."", ""Kefalet desteği oranı %80."", ""Son 5 yılda Garanti BBVA, kadın girişimcilere 350 milyar TL finansman sağladı."", ""Garanti, kadın girişimcilere finansman, eğitim, cesaretlendirme ve pazara erişim olmak üzere dört eksende destek veriyor."", ""Türkiye'nin Kadın Girişimcisi Yarışması 19. kez gerçekleştirildi."", ""Türkiye Kadın Girişimci Akademisi 6 bin kadın girişimciye eğitim verdi."", ""Ticaretin Kadınları platformu 1.500 işletme ve 4 bin kullanıcıyı buluşturuyor.""]","[""Akbank'ın kadın girişimci segmentinde mevcut kredi portföyü ve pazar payı nedir?"", ""Benzer kefalet destekli kredi paketleri Akbank'ta mevcut mu ve ne kadar etkili?"", ""Bu kampanyanın hedef dönemi ve beklenen kredi hacmi nedir?"", ""Garanti'nin bu segmentteki müşteri kazanım hızı izlenebilir mi?""]",2026-06-16T11:38:50.378525+00:00,claude-haiku-4-5-20251001,Onaylandı,,,,Küme Yok,False,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgili
SUM-631ee0bcd53e,RI-b9524814913f,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Sorumlu Tedarik Zinciri Bağımsız Güvence ve Uyum Raporu,16 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/sorumlu-tedarik-zinciri-bagimsiz-guvence-ve-uyum-raporu,Regülasyon,Diğer,Rapor / Araştırma,Garanti BBVA Sorumlu Tedarik Zinciri Uyum Raporu Yayınladı,"Garanti BBVA, kıymetli maden tedarik zinciri konusunda bağımsız denetim kuruluşu tarafından onaylanan uyum raporunu yayınladı. Rapor, 2025 yılı için tasarlanan kontrollerin etkin şekilde işlediğini doğruluyor.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibar ve regülasyon uyumunu gösteriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi, ödemeler veya dijital yolculuk tarafında pratik bir sonuç üretmiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, 2025 yılı (1 Ocak - 31 Aralık) için kıymetli maden tedarik zinciri uyum raporunu hazırladı."", ""Rapor, bağımsız denetim kuruluşu tarafından makul güvence seviyesinde onaylandı."", ""Denetim sonuçlarına göre tasarlanan kontroller etkin şekilde işlemiştir."", ""Rapor, Borsa İstanbul, Hazine ve Maliye Bakanlığı, Ticaret Bakanlığı ve diğer kamu kuruluşlarına yönelik denetim güvencesi sağlamaktadır."", ""Yayın tarihi 16 Haziran 2026.""]","[""Bu rapor Garanti BBVA'nın KOBİ ürün veya hizmet stratejisinde bir değişiklik içeriyor mu?""]",2026-06-16T11:38:58.386885+00:00,claude-haiku-4-5-20251001,Beklemede,,,CL-bf46e941e3bd,Küme İncelemede,True,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgisiz
SUM-b0b2dad9c14e,RI-c8641a4c3026,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Ödeme İste API ile Tahsilatta Yeni Dönem,21 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,Ödemeler ve POS,Ödemeler ve POS,Ürün Lansmanı,"Garanti BBVA, BKM entegrasyonlu Ödeme İste API'yi canlı ortama aldı","Garanti BBVA, Ödeme İste API çözümünü Uludağ Elektrik iş birliğiyle hayata geçirdi. Firmalar kendi sistemleri üzerinden tahsilat taleplerini gönderebiliyor, müşteriler banka uygulamasında tek onayla faturalarını ödeyebiliyor.","Garanti, tahsilat süreçlerini API üzerinden firmaların sistemlerine entegre ediyor; KOBİ nakit yönetimi ve ödeme otomasyonu tarafında izlenmeli.","Bu haberin önemi, Garanti'nin tahsilat ve ödeme otomasyonunu KOBİ operasyonel akışına doğrudan yerleştirmesi. Akbank için asıl soru, benzer API-tabanlı tahsilat çözümlerinin KOBİ müşteri edinimi ve ödeme aktivasyonunda ne kadar etkili olduğu ve Akbank'ın bu alanda ne kadar hazır olduğu.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA, BKM entegrasyonlu Ödeme İste API'yi 21 Mayıs 2026'da canlı ortama aldı."", ""Uludağ Elektrik, ilk pilot müşteri olarak uygulamayı kendi sistemlerine entegre etti."", ""Firmalar Garanti BBVA Developer Portal üzerinden başvuru yaparak API'ye erişebiliyor."", ""Çözüm, KOLAS (Kolay Adres Sistemi) altyapısı üzerinden çalışıyor; IBAN paylaşımı gerektirmiyor."", ""Müşteriler banka uygulamasında gelen bildirimi onaylayarak tek adımda ödeme yapabiliyor."", ""Çözüm özellikle KOBİ, ticari ve kurumsal firmalara yönelik geliştirildi."", ""Genel Müdür Yardımcısı Cemal Onaran, çözümün nakit akışı yönetimi ve operasyonel verimlilik sağlayacağını belirtti.""]","[""API'ye kaç KOBİ müşterisi başvurdu ve canlı ortamda kaç firma kullanıyor?"", ""Uludağ Elektrik dışında başka pilot müşteri var mı veya planlı mı?"", ""Akbank'ın benzer API-tabanlı tahsilat çözümü var mı ve ne durumda?"", ""Bu çözüm Garanti'nin KOBİ müşteri kazanımında ne kadar etkili olmuş?"", ""Ödeme İste hizmeti FAST altyapısı üzerinden çalışıyor; Akbank'ın FAST entegrasyonu ne durumda?""]",2026-06-16T11:39:10.354405+00:00,claude-haiku-4-5-20251001,Beklemede,,,,Küme Yok,False,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgili
SUM-591c52efdfee,RI-69b5a4d8b3c2,DOC-REG-003-20260616113726,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA TOBFED İş Birliği,22 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,Gömülü Finans,Gömülü Finans,İş Birliği,"Garanti BBVA, otomotiv satış sonrası hizmetler kanalına anında alışveriş kredisi yerleştiriyor","Garanti BBVA, TOBFED (Türkiye Araç Satış Sonrası Hizmetler Federasyonu) ile iş birliği yaparak, anlaşmalı Yetkili Uygulama Merkezleri ve sektörel işletmelerde müşterilere satış noktasında anında alışveriş kredisi sunmaya başladı. Amaç, müşterilerin şubeye gitmeden hızlı finansmana erişmesini sağlamak ve işletmelerin satış süreçlerini desteklemek.","Garanti BBVA, kredi ürününü otomotiv satış sonrası hizmetler kanalına yerleştiriyor; gömülü finans tarafında izlenmeli.","Bu haberin önemi TOBFED isminden çok, Garanti'nin finansmanı sektör kanalı üzerinden satış noktasına taşıması. Akbank için benzer sektör birlikleri, ticari dernekler veya servis noktaları üzerinden kredi/ödeme çözümü fırsatlarını düşündürür.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA ve TOBFED arasında resmi iş birliği imzalandı (22 Mayıs 2026)."", ""Ürün: Anında alışveriş kredisi (satış noktasında, şubeye gitmeden)."", ""Kanal: TOBFED Yetkili Uygulama Merkezleri ve sektörel derneklere üye işletmeler."", ""Hedef müşteri: Araç sahipleri ve otomotiv perakende/satış sonrası hizmet müşterileri."", ""Garanti BBVA Tüketici Finansmanı Direktörü Koray Öztopçu tarafından açıklandı."", ""TOBFED Genel Başkanı Serkan Bakırtaş tarafından desteklendi.""]","[""Akbank'ın otomotiv satış sonrası hizmetler sektörü ile benzer iş birliği fırsatları var mı?"", ""Garanti'nin bu kanaldan ne kadar kredi hacmi beklediği (pilot mi, tam ölçek mi)?"", ""Akbank'ın gömülü finans stratejisinde sektör kanalları (TOBFED benzeri) yer alıyor mu?""]",2026-06-16T11:39:18.900712+00:00,claude-haiku-4-5-20251001,Beklemede,,,,Küme Yok,False,False,,0,[],False,False,https://www.garantibbva.com.tr/kurumsal-iletisim,İlgili
