source_id,institution_id,source_type,source_title,source_url,date_accessed,reliability_level,related_dimension,notes
SRC-001,garanti_bbva,Product page,Garanti BBVA SME proposition Halka Açık İncele,https://www.garantibbva.com.tr,2026-05-29,Yüksek,Gömülü Finans Olgunluğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-002,is_bankasi,Analyst estimate,İş Bankası SME proposition Halka Açık İncele,https://www.isbank.com.tr,2026-05-18,Yüksek,Ödemeler ve Üye İşyeri Edinimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-003,akbank,Press release,Akbank SME proposition Halka Açık İncele,https://www.akbank.com,2026-05-07,Yüksek,Dijital KOBİ Yolculuğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-004,yapi_kredi,Pricing page,Yapı Kredi SME proposition Halka Açık İncele,https://www.yapikredi.com.tr,2026-04-26,Yüksek,Nakit Yönetimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-005,qnb_finansbank,Halka Açık website,QNB Finansbank SME proposition Halka Açık İncele,https://www.qnbfinansbank.com,2026-04-15,Yüksek,KOBİ Kredi Bağlantısı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-006,denizbank,Product page,DenizBank SME proposition Halka Açık İncele,https://www.denizbank.com,2026-04-04,Yüksek,Ekosistem İş Birlikleri,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-007,teb,Analyst estimate,TEB SME proposition Halka Açık İncele,https://www.teb.com.tr,2026-03-24,Yüksek,Fiyatlama Şeffaflığı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-008,vakifbank,Press release,VakifBank SME proposition Halka Açık İncele,https://www.vakifbank.com.tr,2026-03-13,Orta,BD Kullanılabilirliği,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-009,ziraat,Pricing page,Ziraat Bankasi SME proposition Halka Açık İncele,https://www.ziraatbank.com.tr,2026-03-02,Orta,Stratejik Tehdit Seviyesi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-010,halkbank,Halka Açık website,Halkbank SME proposition Halka Açık İncele,https://www.halkbank.com.tr,2026-02-19,Orta,KOBİ Mevduat Önermesi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-011,kuveyt_turk,Product page,Kuveyt Türk SME proposition Halka Açık İncele,https://www.kuveytturk.com.tr,2026-02-08,Orta,Gömülü Finans Olgunluğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-012,iyzico,Analyst estimate,iyzico SME proposition Halka Açık İncele,https://www.iyzico.com,2026-01-28,Orta,Ödemeler ve Üye İşyeri Edinimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-013,paytr,Press release,PayTR SME proposition Halka Açık İncele,https://www.paytr.com,2026-01-17,Orta,Dijital KOBİ Yolculuğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-014,param,Pricing page,Param SME proposition Halka Açık İncele,https://www.param.com.tr,2026-06-05,Orta,Nakit Yönetimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-015,sipay,Halka Açık website,Sipay SME proposition Halka Açık İncele,https://www.sipay.com.tr,2026-05-25,Orta,KOBİ Kredi Bağlantısı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-016,papara,Product page,Papara SME proposition Halka Açık İncele,https://www.papara.com,2026-05-14,Yüksek,Ekosistem İş Birlikleri,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-017,paycell,Analyst estimate,Paycell SME proposition Halka Açık İncele,https://www.paycell.com.tr,2026-05-03,Orta,Fiyatlama Şeffaflığı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-018,moka,Press release,Moka SME proposition Halka Açık İncele,https://www.moka.com,2026-04-22,Orta,BD Kullanılabilirliği,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-019,visa,Pricing page,Visa SME proposition Halka Açık İncele,https://www.visa.com,2026-04-11,Yüksek,Stratejik Tehdit Seviyesi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-020,mastercard,Halka Açık website,Mastercard SME proposition Halka Açık İncele,https://www.mastercard.com,2026-03-31,Yüksek,KOBİ Mevduat Önermesi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-021,troy,Product page,Troy SME proposition Halka Açık İncele,https://www.troyodeme.com,2026-03-20,Yüksek,Gömülü Finans Olgunluğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-022,stripe,Analyst estimate,Stripe SME proposition Halka Açık İncele,https://stripe.com,2026-03-09,Yüksek,Ödemeler ve Üye İşyeri Edinimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-023,adyen,Press release,Adyen SME proposition Halka Açık İncele,https://www.adyen.com,2026-02-26,Yüksek,Dijital KOBİ Yolculuğu,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-024,square,Pricing page,Square SME proposition Halka Açık İncele,https://squareup.com,2026-02-15,Yüksek,Nakit Yönetimi,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-025,sumup,Halka Açık website,SumUp SME proposition Halka Açık İncele,https://www.sumup.com,2026-02-04,Yüksek,KOBİ Kredi Bağlantısı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-026,revolut_business,Product page,Revolut Business SME proposition Halka Açık İncele,https://www.revolut.com/business,2026-01-24,Yüksek,Ekosistem İş Birlikleri,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-027,wise_business,Analyst estimate,Wise Business SME proposition Halka Açık İncele,https://wise.com/business,2026-01-13,Yüksek,Fiyatlama Şeffaflığı,Mock Kaynak Takibi entry; replace with verified research citation in production.
SRC-028,shopify_payments,Press release,Shopify Payments SME proposition Halka Açık İncele,https://www.shopify.com/payments,2026-06-01,Yüksek,BD Kullanılabilirliği,Mock Kaynak Takibi entry; replace with verified research citation in production.
