summary_id,recent_item_id,document_id,source_id,institution_id,institution_name,item_title,item_date,item_url,strategic_theme,product_area,development_type,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,confidence_level,extracted_facts_json,open_questions_json,created_at,llm_model,review_status,raw_llm_response_path,error_message
SUM-30c955240f08,RI-456ca7232153,DOC-REG-006-20260610124523,REG-006,is_bankasi,İş Bankası,Ticari Kredi Kartları ile Yurt Dışı Harcamalara MaxiPuan Fırsatı! | Türkiye İş Bankası A.Ş.,30 Haziran 2026,https://www.isbank.com.tr/kampanyalar/ticari-kredi-karti-ile-yurt-disi-harcamalara-maxipuan-firsati,Kampanyalar,Ödemeler ve POS,Kampanya,İş Bankası Ticari Kartlarda Yurt Dışı Harcama Kampanyası,"İş Bankası, Haziran 2026'da ticari kredi kartlarıyla yapılan yurt dışı alışverişlerde %5 oranında MaxiPuan (azami 2.500 TL) kazandıran sınırlı bir kampanya başlatmıştır. Kampanya, İşCep Ticari uygulaması üzerinden yönetilmekte ve belirli ticari kart türlerini kapsamaktadır.","Bu, İş Bankası'nın ticari kart portföyünü aktifleştirmeye yönelik taktik bir kampanyadır; KOBİ'lerin yurt dışı harcama davranışını teşvik etmek ve dijital kanal kullanımını artırmak hedeflenmektedir.","Kampanya, KOBİ'lerin uluslararası ticaret ve yurt dışı harcamalarında ödeme tercihini etkilemeye çalışmaktadır. Akbank'ın benzer KOBİ ticari kart portföyü ve yurt dışı harcama segmentinde rekabetçi bir yanıt gerektirebilir.",Orta,BD Konuşma Notlarına Ekle,Orta,Yüksek,"[""Kampanya tarihi: 1-30 Haziran 2026"", ""Ödül: Yurt dışı harcamalarda her 2.500 TL ve üzeri için %5 MaxiPuan, azami 2.500 TL"", ""Katılım: İşCep Ticari uygulaması üzerinden manuel katılım gerekli"", ""Kapsam: İş Bankası Ticari Kredi Kartları ve Ticari Bankamatik Kartları (belirli kartlar hariç)"", ""Hariç tutulanlar: Maximum Business Aidatsız, Vergi Kart, KOSGEB Kart, Maximum Business +, İmece, Tarım, Bayi Kartları"", ""Puan kullanımı: 10 Temmuz 2026'da yükleme, 31 Ağustos 2026'da son kullanma"", ""Sınırlamalar: Müşteri başına bir kere, işlem başına azami 500 TL, aylık azami 2.500 TL""]","[""Akbank'ın ticari kart portföyünde benzer yurt dışı harcama kampanyası var mı veya planlanıyor mu?"", ""KOBİ müşterilerimizin yurt dışı harcama oranı ve tercih ettiği ödeme araçları nedir?"", ""İşCep Ticari'nin KOBİ penetrasyon oranı Akbank'ın dijital KOBİ uygulamalarıyla karşılaştırıldığında nerede duruyor?""]",2026-06-10T12:50:43.114580+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-9b6c270c0e9d,RI-614fd1462ddb,DOC-REG-006-20260610124523,REG-006,is_bankasi,İş Bankası,Ticari Bankamatik Kartınız ile Yapacağınız Harcamalara MaxiPuan Fırsatı! | Türkiye İş Bankası A.Ş.,30 Haziran 2026,https://www.isbank.com.tr/kampanyalar/ticari-bankamatik-kartiniz-ile-yapacaginiz-harcamalara-maxipuan-kampanyasi,Kampanyalar,Ödemeler ve POS,Kampanya,İş Bankası Ticari Bankamatik Kartlarına 2.500 TL MaxiPuan Kampanyası,"İş Bankası, Haziran 2026'da ticari bankamatik kart kullanıcılarına 1.000 TL üzeri her işlemde 100 TL puan kazandıran, toplamda 2.500 TL'ye varan MaxiPuan kampanyası başlatmıştır. Kampanya İşCep Ticari uygulaması üzerinden yönetilmekte ve müşteri bazında tek seferlik katılıma açıktır.","Bu, İş Bankası'nın ticari kart kullanımını teşvik etmek ve dijital uygulama aktivasyonunu artırmak amacıyla tasarlanmış, sınırlı süreli ve müşteri bazında bir promosyon kampanyasıdır.","Kampanya, KOBİ müşterilerin ticari kart kullanımını ve mobil uygulama bağlılığını artırmaya yönelik bir taktiktir. Akbank açısından, ticari kart ve dijital ödeme platformlarında benzer teşvik mekanizmalarının etkinliğini ve müşteri tepkisini gözlemleme fırsatı sunar.",Düşük,İzle,Düşük,Yüksek,"[""Kampanya tarihi: 1-30 Haziran 2026"", ""Hedef ürün: İş Bankası Ticari Bankamatik Kartları"", ""Ödül mekanizması: 1.000 TL üzeri her işlemde 100 TL puan, maksimum 2.500 TL"", ""Dağıtım kanalı: İşCep Ticari mobil uygulaması"", ""Puan kullanım tarihi: 10 Temmuz - 31 Ağustos 2026"", ""Katılım: Müşteri bazında, bir kere, otomatik değil (manuel katılım gerekli)"", ""Hariç tutulanlar: Bayi kartlar, iade işlemleri, yurt dışı harcamaları, e-ticaret, nakit benzeri işlemler""]","[""Bu kampanyanın İş Bankası'nın ticari kart portföyündeki aktivasyon oranına ne kadar etki ettiği nedir?"", ""Akbank'ın ticari kart kampanyalarının benzer dönemlerdeki katılım ve harcama artışı oranları ne düzeydedir?""]",2026-06-10T12:50:56.312592+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-194d16969224,RI-0bb5bbacb9fe,DOC-REG-006-20260610124523,REG-006,is_bankasi,İş Bankası,Maximum’un 25.Yılına Özel Ticari Kredi Kartınız ile Yapacağınız Harcamalara MaxiPuan Fırsatı! | Türkiye İş Bankası A.Ş.,30 Haziran 2026,https://www.isbank.com.tr/kampanyalar/maximumun-25-yilina-ozel-ticari-kredi-kartiniz-ile-yapacaginiz-harcamalara-maxipuan,Kampanyalar,Ödemeler ve POS,Kampanya,İş Bankası Maximum 25. Yıl Ticari Kart Kampanyası,"İş Bankası, 1-30 Haziran 2026 döneminde ticari kredi kartı kullanıcılarına 25.000 TL üzeri her harcamada 250 TL MaxiPuan (toplam 2.500 TL) kazandıran sınırlı bir promosyon başlatmıştır. Kampanya İşCep Ticari uygulaması üzerinden yönetilmekte ve belirli kart türlerini (Maximum Business Aidatsız, KOSGEB, Vergi Kart vb.) dışlamaktadır.","Bu, İş Bankası'nın ticari kart portföyünü aktifleştirmeye yönelik taktik bir kampanyadır; KOBİ ürün stratejisinde veya pazar konumlandırmasında bir değişim göstermez.","Kampanya doğrudan KOBİ ödeme davranışını etkilemez çünkü hedef dar (25.000 TL+ harcamalar), süresi kısa (1 ay) ve ödül tutarı sınırlıdır (maksimum 2.500 TL). İş Bankası'nın ticari kart kullanımını artırmak için puan mekanizmasını kullanması, Akbank'ın benzer araçlarla rekabet etmesi gerektiğini göstermez.",Düşük,İzle,Düşük,Yüksek,"[""Kampanya tarihi: 1-30 Haziran 2026"", ""Ödül: 25.000 TL+ her harcamada 250 TL MaxiPuan, maksimum 2.500 TL"", ""Kanal: İşCep Ticari uygulaması"", ""Dışlanan kartlar: Maximum Business Aidatsız, KOSGEB, Vergi Kart, Maximum Business +, Bayi, İmece, Tarım Kartları"", ""Puan kullanım tarihi: 10 Temmuz 2026, son kullanma: 31 Ağustos 2026"", ""Müşteri başına bir kere katılım, kart bazında değil"", ""Yurt dışı, online bahis, casino işlemleri hariç""]","[""Bu kampanyanın İş Bankası'nın ticari kart aktif kullanım oranlarında ölçülebilir bir etkisi oldu mu?"", ""Akbank'ın ticari kart puan/ödül mekanizmaları İş Bankası'nın bu tür kampanyalarla rekabet edebilecek düzeyde mi?""]",2026-06-10T12:51:23.246070+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-edc52619ff55,RI-68c3cca031e7,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Finance Yatırım Bankaları Ödülleri,15 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-yatirim-bankalari-odulleri-2026,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,Garanti BBVA Global Finance'den 3 Yatırım Bankacılığı Ödülü Aldı,"Garanti BBVA, Global Finance tarafından Orta ve Doğu Avrupa bölgesinde yatırım bankacılığı alanında 3 ödüle layık görüldü. Ödüller borçlanma araçları, altyapı finansmanı ve Türkiye'nin en iyi yatırım bankası kategorilerinde verildi.","Bu gelişme Garanti BBVA'nın kurumsal imajını güçlendiren bir ödül haberi olup, Akbank KOBİ ürün ve hizmetlerine doğrudan etkisi yoktur.","Gelişme yatırım bankacılığı ve kurumsal finansman alanında Garanti BBVA'nın uluslararası konumlandırmasını yansıtır. KOBİ mevduat, krediler, ödemeler, nakit yönetimi veya gömülü finans gibi Akbank KOBİ'nin temel ürün alanlarıyla ilişkili değildir.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, Global Finance tarafından 3 kategoride ödül aldı: En İyi Borçlanma Araçları Bankası, Altyapı Finansmanı Alanında En İyi Banka, Türkiye'nin En İyi Yatırım Bankası"", ""2025 yılında 500 milyon dolar Tier-2 ihraçında 2 milyar dolar talep toplandı"", ""700 milyon dolar ikinci ihraçta 1, 8 milyar dolar talep gördü"", ""Enerji, altyapı ve sanayi sektörlerinde 20 işlemde 890 milyon dolar finansman sağlandı"", ""Ödüller yatırım bankacılığı performansını ve uluslararası yatırımcı ilişkilerini yansıtıyor""]","[""Garanti BBVA'nın KOBİ segmentinde bu ödülleri pazarlama veya satış argümanı olarak kullanması planlanıyor mu?""]",2026-06-15T08:16:29.393493+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-cb9316e1a9c9,RI-fd14e4703f56,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Türkiye 2025 İklim Değişikliği ve Doğa Raporu,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/dunyadaki-27-triple-a-seviyesindeki-sirketten-5i-turkiyeden,Kampanyalar,Diğer,İlgili Gelişme Yok,Garanti BBVA: Türkiye 2025 İklim Değişikliği ve Doğa Raporu,Claude çağrısı yapılmadığı için kuru çalışma yer tutucusu oluşturuldu.,Model çağrısı yapılmadı; analist kontrolü gerekli.,Analist bu tekil adayın Akbank KOBİ stratejisi açısından gerçek haftalık gelişme olup olmadığını doğrulamalıdır.,Düşük,Önceliklendirme,Düşük,Düşük,"[""Türkiye 2025 İklim Değişikliği ve Doğa Raporu""]","[""Bu aday gerçek bir yeni gelişme mi, yoksa genel sayfa içeriği mi?""]",2026-06-15T08:16:46.889773+00:00,parse-error-dry-run,Beklemede,data/llm_errors/RI-fd14e4703f56_recent_item_parse_error.txt,JSON parse hatası
SUM-98a26dbb161e,RI-cf2e45aea800,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Finance Türkiye’nin En İyi Bankası Ödülü,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül, finansal performans, sürdürülebilir büyüme ve müşteri odaklı inovasyona dayandırılmıştır.","Bu, Garanti BBVA'nın kurumsal itibar ve marka konumlandırması için önemli bir PR başarısı olsa da, KOBİ ürün, hizmet, fiyatlandırma veya strateji açısından doğrudan bir gelişme değildir.","Gelişme, Garanti BBVA'nın dijital dönüşüm, müşteri deneyimi ve sürdürülebilir finansman konularında yatırım yaptığını gösterir. Ancak bu, KOBİ mevduat, kredileri, ödemeler, nakit yönetimi veya gömülü finans alanlarında somut bir ürün, hizmet veya fiyat değişikliğini içermemektedir.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,Yüksek,"[""Garanti BBVA, Global Finance World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi"", ""Ödül kriteri: kârlılık, büyüme, stratejik vizyon, inovasyon kapasitesi, müşteri ihtiyaçlarına yanıt verme"", ""Garanti BBVA'nın 30 milyonu aşan müşteri tabanı ve 18 milyonu aşan aktif mobil müşterisi var"", ""Perakende satışlarının %89'u dijital kanallar üzerinden gerçekleştiriliyor"", ""2018-2029 dönemi için 3, 5 trilyon TL sürdürülebilir finansman hedefi belirlendi"", ""Türk lirası kredilerde lider konumda olduğu belirtiliyor""]","[""Garanti BBVA'nın KOBİ kredileri ve mevduat ürünlerinde son dönemde fiyat veya şart değişikliği yapıp yapmadığı kontrol edilmeli mi?"", ""Rakibin dijital KOBİ yolculuğu ve gömülü finans alanında somut yeni ürün lansmanı planlıyor mu?""]",2026-06-15T08:16:59.889707+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-481f963c9f14,RI-6ffc8e895a2e,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Salt 15 Yıldır Kültür Mirasını Geleceğe Taşıyor,22 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/salt-15-yildir-kultur-mirasini-gelecege-tasiyor,Kurumsal Konumlandırma,Diğer,İlgili Gelişme Yok,Garanti BBVA Salt Kültür Kurumunun 15. Yılını Kutluyor,"Garanti BBVA tarafından 2011'de kurulan Salt kültür ve araştırma kurumu 15. yılını doldurmuş, 5 milyon ziyaretçiye ulaşmıştır.","Bu, Garanti BBVA'nın kurumsal sosyal sorumluluk ve kültür yatırımı alanındaki çalışmalarını görünür kılmaya yönelik bir PR hareketi olup, KOBİ bankacılığı, ürünleri veya hizmetleriyle doğrudan ilgisi yoktur.","Gelişme, Garanti BBVA'nın kurumsal imajını güçlendirmeye yönelik bir iletişim faaliyetidir ancak KOBİ mevduat, kredileri, ödemeler, nakit yönetimi veya dijital hizmetleri kapsamında hiçbir ürün, hizmet, fiyat, teknoloji veya pazar sinyali içermemektedir. Akbank KOBİ açısından operasyonel veya stratejik bir tehdit ya da fırsat oluşturmamaktadır.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Salt 2011'de Garanti BBVA tarafından kurulmuştur"", ""15 yılda yaklaşık 5 milyon ziyaretçiye ulaşılmıştır"", ""2 milyonu aşkın belge ve kaynaktan oluşan arşiv koleksiyonları kamusal erişime açılmıştır"", ""Salt Beyoğlu ve Salt Galata mekânları ile dijital platformlar ücretsiz erişime açıktır"", ""Salt Araştırma Fonları 2013'ten bu yana 80'in üzerinde projeyi desteklemiştir"", ""2025'te Garanti BBVA Ekonomi Tarihi Fonu kurulmuştur""]","[""Bu PR hareketi Garanti BBVA'nın KOBİ segmentinde marka algısını iyileştirmeyi amaçlıyor mu?""]",2026-06-15T08:17:11.490822+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-9732d5a61b9b,RI-a2501e99ef1b,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,01 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,Kurumsal Konumlandırma,Diğer,Yönetim Açıklaması,Garanti BBVA Leasing'in Sürdürülebilirlik Bağlantılı Finansman İşlemleri,"Garanti BBVA, Garanti BBVA Leasing ile 2 milyar TL'lik sürdürülebilirlikle bağlantılı IRS işlemi ve 5 milyon euro'luk sürdürülebilirlikle bağlantılı kredi işlemi gerçekleştirmiştir. İşlemler, kurumsal konumlandırma ve ESG hedeflerine yönelik bir PR hareketi olup, KOBİ ürün ve hizmetlerine dokunmamaktadır.","Bu, Garanti BBVA'nın kurumsal imajını güçlendirmeye yönelik düşük haber değerli bir PR açıklamasıdır ve Akbank KOBİ'nin ürün, fiyatlandırma veya pazarlama stratejisine doğrudan etki yapmamaktadır.","Gelişme, Garanti BBVA'nın kurumsal düzeyde sürdürülebilirlik konumlandırmasını göstermektedir ancak KOBİ müşterilerine yönelik yeni bir ürün, hizmet veya fiyatlandırma değişikliği içermemektedir. KOBİ mevduat, krediler, ödemeler, nakit yönetimi veya gömülü finans alanlarında bir strateji sinyali taşımamaktadır.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA ve Garanti BBVA Leasing arasında sürdürülebilirlik çerçeve mutabakatı imzalanmıştır."", ""2 milyar TL tutarında sürdürülebilirlikle bağlantılı IRS (faiz swap) işlemi gerçekleştirilmiştir."", ""5 milyon euro tutarında sürdürülebilirlikle bağlantılı kredi (SLL) işlemi gerçekleştirilmiştir."", ""İşlemler, Garanti BBVA Leasing'in ilk sürdürülebilirlikle bağlantılı kredi ve IRS işlemleridir."", ""Açıklama tarihi: 01 Haziran 2026."", ""Sözcü: Garanti BBVA Genel Müdür Yardımcısı Sinem Edige.""]","[""Bu işlemler Garanti BBVA'nın KOBİ müşterilerine yönelik yeni bir finansman ürünü veya fiyatlandırma modeli içeriyor mu?"", ""Garanti BBVA, KOBİ segmentinde sürdürülebilirlikle bağlantılı kredi ürünlerini pazarlama planı yapıyor mu?""]",2026-06-15T08:17:19.696164+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-605aaafea7e6,RI-4f105729f8a7,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Kurumsal Hafızada 80 Yıllık Yolculuk,2 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kurumsal-hafizada-80-yillik-yolculuk,Kurumsal Konumlandırma,Diğer,İlgili Gelişme Yok,Garanti BBVA 80. Yıl Dönümü Sergisi ve Kurumsal Arşiv Projesi,"Garanti BBVA, 80. kuruluş yıldönümünü Salt Galata'da dijital sergi, arşiv kataloğu ve kurumsal hafıza projeleriyle kutluyor.","Bu, Garanti BBVA'nın kurumsal imaj ve iç kültür yönetimi amaçlı bir PR etkinliğidir; KOBİ segmentine yönelik ürün, hizmet, fiyat veya strateji değişikliği içermez.","Gelişme, rakibin KOBİ müşterilerine sunduğu mevduat, ödeme, kredi veya nakit yönetimi çözümlerinde herhangi bir yenilik veya rekabetçi avantaj yaratmaz. Kurumsal hafıza ve arşiv çalışması, KOBİ satış, ürün geliştirme veya pazarlama stratejisini etkilemez.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA 1946'de Ankara'da kuruldu ve 80. yıldönümünü 2026'da kutluyor."", ""Salt Galata'da '80 Yıldır Yarınlardayız' sergisi 3 Haziran – 30 Eylül 2026 tarihlerinde açık olacak."", ""Salt ile ortaklaşa 36 bini aşkın fiziksel materyal dijitalleştirildi; 255 bin dijital materyalin envanteri tamamlandı."", ""Garanti BBVA Arşivi'nin ilk 10 bin belgelik bölümü 2026'da Salt Araştırma üzerinden erişime açılacak."", ""Etkinlik kapsamında Vizyon Buluşmaları, 23 bin çalışana özel etkinlikler, 80 bin fidanlık Hatıra Ormanı ve gönüllülük projeleri planlanıyor."", ""Genel Müdür Mahmut Akten, bankanın kendini yenileyen ancak güven duygusunu koruyan bir kurum olduğunu vurguladı.""]","[""Bu arşiv ve hafıza projesi, Garanti BBVA'nın KOBİ müşteri deneyimi veya dijital platform geliştirmesine entegre edilecek mi?"", ""Kurumsal konumlandırma çalışması, KOBİ segmentine yönelik yeni bir marka mesajı veya kampanya ile desteklenecek mi?""]",2026-06-15T08:17:32.696185+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-b3b807ac4e09,RI-81e0090ecdd3,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Summit of Women 2026,8 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,Kurumsal Konumlandırma,KOBİ Kredileri,Yönetim Açıklaması,"Garanti BBVA, Kadın Girişimciliğinde 20 Yıllık Deneyimini Global Platformda Sergiledi","Garanti BBVA, Global Summit of Women 2026'da kadın girişimcilere yönelik 20 yıllık destek modelini ve son 5 yılda sağladığı 350 milyar TL finansmanı vurgulayarak, KOBİ bankacılığı deneyimini uluslararası katılımcılarla paylaştı. Rakip, kadın girişimciliği alanında kendisini lider konumlandırırken, finansman, eğitim, cesaretlendirme ve pazara erişim olmak üzere dört temel destek alanını öne çıkardı.","Bu, Garanti BBVA'nın KOBİ segmentinde (özellikle kadın girişimciler) güçlü bir konumlandırma ve uzun soluklu bir destek ekosistemi geliştirmiş olduğunu göstermektedir; Akbank için doğrudan ürün veya fiyat tehdidi değildir ancak marka algısı ve müşteri sadakati açısından önemli bir sinyal taşır.","Garanti BBVA, KOBİ kredileri ve girişimcilik finansmanında kendisini sosyal sorumluluk ve kapsayıcı büyüme ile bağlantılandırarak, rakip bankaların sadece finansal ürün sunmaktan öte bir değer önerisi geliştirdiğini göstermektedir. Bu, Akbank'ın KOBİ segmentinde benzer bir ekosistem ve konumlandırma stratejisinin olup olmadığını sorgulatmaktadır.",Orta,Yönetici Bilgilendirme Notuna Ekle,Orta,Yüksek,"[""Garanti BBVA, Global Summit of Women 2026'da ana destekçi olarak yer aldı (4-6 Haziran 2026, İstanbul)"", ""Son 5 yılda kadın girişimcilere 350 milyar TL finansman sağlandı"", ""Kadın girişimciliği desteği dört alanda yapılıyor: finansman, eğitim, cesaretlendirme, pazara erişim"", ""Genel Müdür Yardımcısı Sibel Kaya, T.C. Hazine ve Maliye Bakanı Mehmet Şimşek ile aynı oturumda konuşmacı olarak yer aldı"", ""Garanti BBVA destekli kadın girişimciler (Nebyan Doğal, Müge Baltacı) uluslararası platformda deneyimlerini paylaştı"", ""Techstars ve Startup Weekend Women gibi uluslararası ağlarla iş birliği yapılıyor""]","[""Akbank'ın KOBİ segmentinde (özellikle kadın girişimciler) benzer bir ekosistem ve destek modeli var mı?"", ""Akbank'ın KOBİ kredileri alanında son 5 yılda sağladığı finansman hacmi nedir ve cinsiyete göre dağılımı nasıldır?"", ""Garanti BBVA'nın bu konumlandırması müşteri sadakati ve yeni müşteri kazanımında ölçülebilir bir fark yaratıyor mu?"", ""Akbank'ın KOBİ müşterilerine yönelik benzer bir kurumsal sosyal sorumluluk ve ekosistem stratejisi geliştirme planı var mı?""]",2026-06-15T08:17:44.987609+00:00,claude-haiku-4-5-20251001,Beklemede,,
