review_id,summary_id,recent_item_id,document_id,source_id,institution_name,item_title,item_date,strategic_theme,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,confidence_level,item_url,source_url,review_status,reviewer,review_notes,approved_at,analyst_note,reviewed_at
RIRQ-683bc0a367be,SUM-b39deaa096c9,RI-f2f1685394b7,DOC-REG-003-20260615122615,REG-003,Garanti BBVA,Global Summit of Women 2026,8 Haziran 2026,Kurumsal Konumlandırma,"Garanti BBVA, Global Summit'te Kadın Girişimciliğinde 20 Yıllık Deneyimini Vurguladı","Garanti BBVA, İstanbul'da düzenlenen Global Summit of Women 2026'da ana destekçi olarak yer aldı ve kadın girişimcilere son 5 yılda 350 milyar TL finansman sağladığını açıkladı. Rakip, kadın girişimciliği desteğini ekonomik büyüme ve kapsayıcı kalkınmanın temel unsuru olarak konumlandırıyor.","Garanti BBVA, kadın girişimciliği segmentinde uzun vadeli bir destek modeli kurmuş ve bunu uluslararası platformlarda kurumsal kimlik ve liderlik göstergesi olarak kullanıyor; bu, KOBİ kredileri ve girişimcilik finansmanında rakip avantajını güçlendiriyor.","Gelişme, Garanti BBVA'nın KOBİ kredileri ve girişimcilik finansmanında kurumsal konumlandırmasını pekiştiriyor. Kadın girişimciler segmentinde finansman, eğitim, ağ kurma ve pazara erişim desteğinin kombinasyonu, Akbank'ın KOBİ stratejisinde benzer bir bütünlüklü yaklaşım olup olmadığını sorgulatıyor.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,https://www.garantibbva.com.tr/kurumsal-iletisim,Beklemede,,,,,
RIRQ-66753b2a0039,SUM-b1160e3116e8,RI-a1196981f113,DOC-REG-003-20260615122615,REG-003,Garanti BBVA,Kadın Girişimcilerin Finansmana Erişimi İçin Yeni Destek,12 Haziran 2026,KOBİ Kredileri,"Garanti BBVA, Kadın KOBİ'lere 2 Milyar TL Kefalet Destekli Kredi Paketi Sunuyor","Garanti BBVA, Kredi Garanti Fonu iş birliğiyle %50+ kadın sahipliğine sahip KOBİ'lere yönelik 2 milyar TL kefalet limiti ile yeni kredi destek paketini piyasaya sunmuştur. Program kapsamında kadın girişimciler %80 kefalet desteği ile 10 milyon TL'ye kadar kredi kullanabilecektir.","Bu, rakibin teminata erişimde zorlanan kadın KOBİ segmentine doğrudan kredi ürünü ile girmesi ve bu segmenti kamu desteği ile güçlendirmesidir.","Garanti BBVA, kadın girişimciliğini 20 yıldır finansman, eğitim, cesaretlendirme ve pazara erişim olmak üzere dört eksende desteklemekte ve son beş yılda 350 milyar TL finansman sağlamıştır. Bu yeni paket, rakibin KOBİ kredi portföyünde kadın segmentini stratejik olarak güçlendirme ve mevduat tabanını genişletme niyetini göstermektedir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,https://www.garantibbva.com.tr/kurumsal-iletisim,Beklemede,,,,,
RIRQ-fd5e71157025,SUM-b0b2dad9c14e,RI-c8641a4c3026,DOC-REG-003-20260615122615,REG-003,Garanti BBVA,Ödeme İste API ile Tahsilatta Yeni Dönem,21 Mayıs 2026,Ödemeler ve POS,"Garanti BBVA, BKM entegrasyonlu Ödeme İste API'yi canlı ortamda kullanıma aldı","Garanti BBVA, firmalar için tahsilat süreçlerini kendi sistemlerine entegre edebilecekleri Ödeme İste API çözümünü hayata geçirdi. Uludağ Elektrik ile pilot uygulamada müşteriler faturalarını banka uygulamasında tek onaylamayla ödeyebiliyor.","Rakip, KOBİ ve kurumsal müşterilerin tahsilat operasyonlarını dijitalleştirmek için API tabanlı bir çözüm sunarak, nakit akışı yönetimi ve operasyonel verimlilik açısından doğrudan KOBİ değer önerisi yaratmıştır.","Bu gelişme KOBİ tahsilat ve nakit yönetimi alanında önemlidir çünkü Garanti BBVA, firmalar için tahsilat süreçlerini otomatikleştiren ve manuel işlemleri azaltan bir API çözümü sunmaktadır. Akbank'ın KOBİ müşterilerine benzer entegre tahsilat çözümleri sunup sunmadığı kontrol edilmelidir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,https://www.garantibbva.com.tr/kurumsal-iletisim,Beklemede,,,,,
RIRQ-2692f47b34e7,SUM-591c52efdfee,RI-69b5a4d8b3c2,DOC-REG-003-20260615122615,REG-003,Garanti BBVA,Garanti BBVA TOBFED İş Birliği,22 Mayıs 2026,Ekosistem İş Birlikleri,"Garanti BBVA, TOBFED ile otomotiv satış sonrası hizmetlerde anında kredi çözümü sunuyor","Garanti BBVA, Türkiye Araç Satış Sonrası Hizmetler Federasyonu (TOBFED) ile iş birliğine giderek, anlaşmalı Yetkili Uygulama Merkezleri ve sektörel işletmelerde müşterilere şubeden bağımsız, anında alışveriş kredisi imkanı sunmaya başladı. Çözüm, otomotiv perakende ve satış sonrası hizmetler ekosisteminde finansmana erişimi hızlandırmayı ve işletmelerin satış süreçlerini desteklemeyi hedefliyor.","Bu, Garanti BBVA'nın sektörel ekosistem ortaklıkları yoluyla gömülü finans ve anında kredi çözümlerini yaygınlaştırma stratejisinin somut bir örneğidir ve KOBİ finansmanında kanal çeşitlendirmesi açısından Akbank için izlenmeye değer bir rakip hareketi.","Garanti BBVA, KOBİ müşterilerine finansmana erişimi kolaylaştırmak için sektörel federasyonlar ve yetkili merkezlerle doğrudan ortaklıklar kuruyor; bu, geleneksel şube ve dijital kanalların ötesinde, müşterinin bulunduğu yerde finansman sunma stratejisini gösteriyor. Akbank'ın KOBİ kredileri ve gömülü finans stratejisi açısından, sektörel ortaklıklar ve anında kredi çözümleri konusunda rekabet baskısı artıyor.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,https://www.garantibbva.com.tr/kurumsal-iletisim,Beklemede,,,,,
RIRQ-1e4bef70440c,SUM-9d59923d356e,RI-e76d6af5a270,DOC-REG-006-20260615122617,REG-006,İş Bankası,İlk Ticari Kredi Kartına Özel Seçili Sektörlerde Faizsiz Taksit Fırsatı | Türkiye İş Bankası A.Ş.,30 Haziran 2026,Kampanyalar,İş Bankası ticari kredi kartında faizsiz 2 ay taksit kampanyası,"İş Bankası, Haziran 2026'da ilk kez ticari kredi kartı alan müşterilere seçili sektörlerde (gıda, elektronik, cep telefonu, giyim, mobilya, yapı-inşaat, araç bakım) 10.000-50.000 TL arası alışverişlerde faizsiz 2 ay taksit imkanı sunuyor. Kampanya İşCep uygulaması üzerinden sonradan taksitlendirme şeklinde işliyor.","Rakip, KOBİ müşteri kazanımında ticari kredi kartı kullanarak belirli sektörlere yönelik faizsiz taksit teşviki ile talep yaratmaya çalışıyor; bu, Akbank'ın benzer ürün ve kampanya portföyünü gözden geçirmesini gerektiriyor.","Gelişme, KOBİ segmentinde ödeme araçları ve müşteri kazanım stratejisine dokunuyor. İş Bankası, ticari kredi kartını yeni müşteri çekme aracı olarak aktif kullanıyor ve sektör bazlı teşviklerle talep yaratıyor.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/ilk-ticari-kredi-kartina-ozel-secili-sektorlerde-taksit-firsati,https://www.isbank.com.tr/duyurular,Beklemede,,,,,
RIRQ-f60ed3383c8b,SUM-440cf2f57afb,RI-f59fd7ffaf9b,DOC-REG-006-20260615122617,REG-006,İş Bankası,Vergi Ödemelerinizi Taksitlendirme İmkanı | Türkiye İş Bankası A.Ş.,30 Haziran 2026,Ödemeler ve POS,İş Bankası: Vergi Ödemelerinde 2 Ay Faizsiz Taksitlendirme,"İş Bankası, Maximum Business TROY Kredi Kartı ile yapılan vergi ödemelerini (5.000 TL ve üzeri, 1 milyon TL'ye kadar) İşCep uygulaması üzerinden %0 faiz ve masrafsız olarak 2 ay vade ile taksitlendirme imkanı sunuyor. Kampanya Haziran 2026'da gerçekleştirilmiş olup, benzer kampanyalar düzenli olarak tekrarlanmaktadır.","Düşük haber değeri taşıyan, tekrarlayan bir taksitlendirme kampanyasıdır; ancak KOBİ nakit akışı yönetimi ve ticari kart kullanım alışkanlıklarını etkileme potansiyeli vardır.","İş Bankası, ticari kart sahiplerinin vergi yükümlülüklerini hafifletme yoluyla kart kullanımını teşvik ediyor ve nakit akışı baskısı altındaki KOBİ'leri hedef alıyor. Bu, Akbank'ın ticari kart ve nakit yönetimi ürünlerinde benzer çözümler sunup sunmadığını sorgulatmaktadır.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/vergi-odemelerinizi-taksitlendirme-imkani,https://www.isbank.com.tr/duyurular,Beklemede,,,,,
RIRQ-eccda8c88734,SUM-7fb61e7880c2,RI-60c87040f497,DOC-REG-006-20260615122617,REG-006,İş Bankası,esnafa-3lu-kazanc-paketi | Türkiye İş Bankası A.Ş.,01.06.2026,Kampanyalar,İş Bankası Esnaf 3'lü Kazanç Paketi (Haziran 2026),"İş Bankası, ticari kredi kartı, otomatik fatura talimatı ve ticari ek hesap ürünlerini bir arada kullanan esnaf müşterilerine 15.000 TL'ye kadar MaxiPuan ve 6 ay boyunca 100 adet ücretsiz havale/EFT sunuyor. Kampanya 1-30 Haziran 2026 tarihleri arasında geçerli olup, 5.000 müşteri ile sınırlıdır.","Rakip, esnaf segmentinde ürün cross-sell ve nakit yönetimi hizmetlerinin kullanımını artırmaya yönelik sınırlı süreli, ödül tabanlı bir kampanya yürütmektedir.","Kampanya, İş Bankası'nın esnaf müşterilerinin havale/EFT işlemlerini kendi platformunda tutmak ve ticari kredi kartı penetrasyonunu artırmak amacını göstermektedir. Akbank'ın esnaf nakit yönetimi ve mevduat ürün stratejisine karşı doğrudan rekabet sinyalidir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/esnafa-3lu-kazanc-paketi,https://www.isbank.com.tr/duyurular,Beklemede,,,,,
RIRQ-4008ba3a4363,SUM-f6ec7b6b9b8f,RI-7a8c39dd7e44,DOC-REG-006-20260615122617,REG-006,İş Bankası,Paygo SP630 ECR Mobil ÖKC ve Hugin Tiger T300 Mobil ÖKC Kampanyası | Türkiye İş Bankası A.Ş.,31.12.2026,Ödemeler ve POS,İş Bankası Mobil ÖKC Cihazlarına Vade Farksız 9 Taksit Kampanyası,"İş Bankası, Ingenico MOVE/5000 F, Paygo SP630 ECR 4G ve Hugin Tiger T300 4G mobil ÖKC cihazlarına vade farksız 9 taksit imkanı sunuyor. Kampanya kapsamında cihazlar İş Bankası şubeleri aracılığıyla satılıyor ve İş Bankası kredi kartı kullanımı şartı bulunuyor.","Bu, İş Bankası'nın POS/ÖKC satışını finansman ürünleriyle birleştirerek KOBİ müşteri bağlılığını artırmaya yönelik taktiksel bir kampanyadır; haber değeri düşük ve sınırlı kapsamlıdır.","Kampanya doğrudan POS/ÖKC ekosisteminde hareket etmektedir ancak İş Bankası'nın cihaz satışını kendi finansman ürünlerine bağlayarak müşteri tutma stratejisini göstermektedir. Akbank için, rakibin POS müşterilerini finansman ürünlerine çekmek için teşvik kullandığını göstermesi açısından önemlidir.",Düşük,İzle,Yüksek,https://www.isbank.com.tr/kampanyalar/hugin-paygo-mobil-okc-kampanyasi,https://www.isbank.com.tr/duyurular,Onaylandı,,,2026-06-15T12:49:36.001972+00:00,,2026-06-15T12:49:36.001972+00:00
RIRQ-bb18834080a3,SUM-7e12d1a355bb,RI-69967232576a,DOC-REG-006-20260615122617,REG-006,İş Bankası,Suya Değer Kredisi Kampanyası | Türkiye İş Bankası A.Ş.,30.06.2026,KOBİ Kredileri,İş Bankası Suya Değer Kredisi: Atık Su Arıtma Yatırımlarına %70 Finansman,"İş Bankası, atık su arıtma ve geri kazanım tesisi yatırımı yapan KOBİ'lere özel kredi kampanyası başlatmıştır. Kampanya, çevre koruma amacıyla üretim süreçlerinde atık su oluşan tüm ticari müşterileri hedeflemektedir.","Bu, İş Bankası'nın KOBİ kredi portföyünü çevre temalı sektörlere yönlendirme stratejisini gösteren, sınırlı hedef kitleye sahip ancak net bir ürün farklılaştırması yapan kampanyadır.","Gelişme, KOBİ kredileri alanında rakibin sektör-spesifik finansman çözümleri sunma yeteneğini göstermektedir. Akbank'ın benzer çevre temalı kredi ürünleri veya sektör-spesifik kampanyaları olup olmadığı kontrol edilmelidir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/suya-deger-kredisi,https://www.isbank.com.tr/duyurular,Beklemede,,,,,
RIRQ-b1a5c55dff40,SUM-91317d5bac7e,RI-4a32a729e83d,DOC-REG-006-20260615122617,REG-006,İş Bankası,Ticari Kredi Kartları ile Yurt Dışı Harcamalara MaxiPuan Fırsatı! | Türkiye İş Bankası A.Ş.,30 Haziran 2026,Kampanyalar,İş Bankası ticari kredi kartlarında yurt dışı harcama kampanyası,"İş Bankası, Haziran 2026'da ticari kredi kartı kullanıcılarına yurt dışı alışverişlerde %5 oranında MaxiPuan (2.500 TL'ye kadar) kazandırma kampanyası başlatmıştır. Kampanya, İşCep Ticari uygulaması üzerinden yönetilmekte ve belirli ticari kart türlerini kapsamaktadır.","Bu, rakibin ticari kart kullanıcılarını yurt dışı harcama kanalında tutmaya ve İşCep Ticari uygulamasının kullanımını artırmaya yönelik sınırlı kapsamlı bir promosyon kampanyasıdır.",Kampanya doğrudan KOBİ ödeme davranışını etkilemez; İş Bankası'nın mevcut ticari kart portföyünü aktivize etme ve dijital uygulama bağlılığını güçlendirme çabasıdır. Akbank'ın ticari kart ve yurt dışı ödeme stratejisine karşı rekabetçi bir sinyal taşır.,Düşük,İzle,Yüksek,https://www.isbank.com.tr/kampanyalar/ticari-kredi-karti-ile-yurt-disi-harcamalara-maxipuan-firsati,https://www.isbank.com.tr/duyurular,Beklemede,,,,,
