offer_id,institution_id,institution_name,institution_tier,offer_title,offer_type,target_segment,customer_scope,dob_required,dob_channel,dob_evidence,value_summary,amount,term,fee_waiver,required_action,eligibility,valid_from,valid_until,status,confidence_level,source_url,last_checked,akbank_implication,notes,last_http_status,last_check_status,last_check_error,last_check_run_id,market_scope
NCO-001,garanti_bbva,Garanti BBVA,Tier 1,Esnafa özel faizsiz kredi ve taksitli avans hesap,Faizsiz kredi + avans,Esnaf / şahıs firması,İlk defa Garanti BBVA müşterisi olanlar,Evet,Garanti BBVA Mobil / İnternet,İlk defa Garanti BBVA'lı olma ve müşteri olma/kredi başvurusunu dijital kanaldan tamamlama şartı var; şube süreci kapsam dışı.,100.000 TL'ye varan toplam faizsiz finansman: 50.000 TL faizsiz kredi + 50.000 TL faizsiz taksitli avans hesap,100.000 TL'ye varan toplam fırsat,3 ay azami vade,Tahsis ücreti 0 TL; taksitli avans hesap faizsiz ve masrafsız,Garanti BBVA Mobil'den müşteri olup 10 gün içinde dijital kanaldan başvuru,Kampanya yalnızca esnaf ve şahıs firmalarına; başvuru kredi politikalarına bağlı,2026-08-01,2026-08-31,Süresi doldu,Yüksek,https://www.garantibbva.com.tr/kampanyalar/esnafa-ozel-faizsiz-kredi-kampanyasi,2026-09-04,Yeni esnaf ediniminde nakit teşvik çıtası yüksek; Akbank'ın dijital yeni müşteri açılışı + ilk kredi paketini karşılaştırması gerekir.,Resmi kampanya sayfasında Ağustos dönemi koşulları görüldü.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-002,is_bankasi,İş Bankası,Tier 1,İşCep'ten ticari müşteri olana 1 yıl ücretsiz EFT/Havale,Ücretsiz işlem paketi,Ticari müşteri,İşCep'ten ilk kez ticari müşteri olan şirketler,Evet,İşCep,İşCep Müşteri Olmak İstiyorum akışıyla ticari müşteri olma şartı var.,1 yıl ücretsiz EFT/Havale; EFT için 304.800 TL'ye kadar transferlerde masrafsızlık,1 yıl ücretsiz EFT/Havale,1 yıl,EFT/Havale ücreti istisnası,İşCep'te Müşteri Olmak İstiyorum akışıyla ticari müşteri olmak,"Mesai dışı FAST, tatil günü EFT/FAST, çoklu/talimatlı transferler ve bazı özel işlemler kapsam dışı",,,Aktif,Yüksek,https://www.isbank.com.tr/kampanyalar/iscepten-is-bankali-olan-sirketlere-ucretsiz-eft-havale,2026-09-04,Yeni ticari müşteri ediniminde ücret muafiyeti net ve anlaşılır; Akbank'ın ücretsiz işlem paketi eşiği/limitini netleştirmesi gerekir.,Resmi kampanya sayfasında tarih aralığı görünmüyor; aktif sayfa olarak izleniyor.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-003,is_bankasi,İş Bankası,Tier 1,Yeni ticari kredi kartı müşterilerine hoş geldin MaxiPuan kampanyası,Ticari kart hoş geldin,Ticari kredi kartı müşterisi,İlk kez İş Bankası ticari kredi kartı alan müşteriler,Hayır,İşCep veya şube,"Kampanya ilk kez ticari kredi kartı alan müşterilere; kaynak başvuru kanallarını İşCep ve şube olarak veriyor, DOB zorunlu değil.",200.000 TL ve üzeri harcamada 5.000-10.000 TL MaxiPuan; TROY kartta üst fayda 10.000 TL,10.000 TL'ye varan MaxiPuan,Kart tahsisini takip eden ay sonuna kadar harcama,Kart ödül / puan teşviki,1 Temmuz - 30 Eylül 2026 döneminde ticari kredi kartı başvurusu,İlk kez ticari kredi kartı tahsisi; belirlenen harcama eşiğinin karşılanması gerekiyor,2026-07-01,2026-09-30,Aktif,Yüksek,https://www.isbank.com.tr/kampanyalar/yeni-ticari-kredi-karti-musterilerimize-hos-geldin-kampanyasi,2026-09-04,Ticari kart ediniminde TROY vurgusu ve harcama aktivasyonu birlikte kurgulanmış; Akbank ticari kart ilk kullanım kampanyasını kıyaslamalı.,Resmi İş Bankası kampanya sayfasından özetlendi.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-004,yapi_kredi,Yapı Kredi,Tier 1,Firmalara özel 48.000 TL değerinde hoş geldin paketi,Ücretsiz işlem paketi,Şahıs işletmesi / limited şirket,Yapı Kredi Mobil'den ilk kez müşteri olup ticari üyelik açan firmalar,Evet,Yapı Kredi Mobil / Tüzel Müşteri Ol,Yapı Kredi Mobil'den ilk defa müşteri olup Tüzel Müşteri Ol adımıyla ticari üyelik açma şartı var.,"EFT/havale 1 yıl ücretsiz; çek tahsilatı, çek karnesi, dış ticaret işlemi, swift haberleşme ve gelen döviz havale avantajları",48.000 TL değerinde paket,EFT/Havale 1 yıl; seçili işlem adetleri 6 ay,"EFT/Havale, çek, dış ticaret ve gelen döviz havale muafiyetleri",Yapı Kredi Mobil'den müşteri olup ticari üyelik açılışı yapmak ve ticari kredi kartına başvurmak,Şahıs işletmesi ve limited şirketler; firma kampanyadan bir kez yararlanabilir,,,Aktif,Yüksek,https://www.yapikredi.com.tr/kampanyalar/detay/253386,2026-09-04,Yapı Kredi yeni firma edinimini tek pakette çoklu işlem muafiyetiyle anlatıyor; Akbank tarafında hoş geldin paketinin parasal karşılığı netleştirilebilir.,Resmi kampanya detay sayfasında 48.000 TL paket ve koşullar görüldü.,,Hata,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",new_customer_daily_33851888475,Türkiye
NCO-005,yapi_kredi,Yapı Kredi,Tier 1,Mobilden Yapı Kredili olan firmalara 1 yıl işlem muafiyeti,Ücretsiz işlem paketi,Şahıs işletmesi / limited şirket,Mobilden ilk kez müşteri olup ticari üyelik açan firmalar,Evet,Yapı Kredi Mobil / Müşteri Ol,Yapı Kredi Mobil'den ilk defa müşteri olup ticari üyelik açılışını tamamlama şartı var.,"EFT, FAST, Havale, çek karnesi ve çek tahsilat işlemlerinde 1 yıl ücretsiz kullanım",Parasal karşılık kaynakta ayrıca belirtilmiyor,1 yıl,"EFT, FAST, Havale, çek karnesi ve çek tahsilat ücretleri",Yapı Kredi Mobil'den müşteri olmak ve ticari üyelik açılışını tamamlamak,Muafiyetler sadece dijitalden yapılan işlemler için geçerli; değerli kağıt bedeli kapsam dışı,,,Aktif,Yüksek,https://www.yapikredi.com.tr/kampanyalar/detay/248208,2026-09-04,Yapı Kredi aynı edinim akışını daha sade işlem muafiyeti mesajıyla da destekliyor; paket anlatımı ve sade fayda anlatımı birlikte izlenmeli.,Resmi kampanya detay sayfasında koşullar görüldü.,,Hata,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",new_customer_daily_33851888475,Türkiye
NCO-006,qnb_finansbank,QNB Finansbank,Tier 2,Firmam adına QNB'li olana %0 faizli taksitli ticari kredi,Faizsiz ticari kredi,Şahıs şirketi / tek ortaklı limited,QNB Mobil üzerinden müşteri olma sürecini tamamlayan yeni KOBİ müşterileri,Evet,QNB Mobil / Görüntülü görüşme,QNB sayfası kampanyanın QNB Mobil üzerinden müşteri olma sürecini tamamlayan yeni KOBİ müşterileri için geçerli olduğunu belirtiyor.,100.000 TL'ye kadar 6 ay vadeli %0 faizli Taksitli Ticari Kredi,100.000 TL'ye kadar,6 ay,Faiz %0; limit tahsis ücreti ayrıca alınabiliyor,QNB Mobil'den firması adına müşteri olmak ve 30 gün içinde Taksitli Ticari Kredi başvurusu yapmak,Limited tek ortaklı/tek yetkili şirketler ve gerçek kişi ticari işletmeler; kredi değerlendirmesi bankaya ait,,,Aktif,Yüksek,https://www.qnb.com.tr/isim-icin/dijital-bankacilik/firmam-adina-nasil-qnbli-olurum,2026-09-04,Tier 2 içinde en net DOB bağlantılı KOBİ edinim hamlesi; Akbank'ın yeni tüzel müşteri ilk kredi teklifine doğrudan benchmark olur.,Resmi QNB sayfasında DOB ve yeni KOBİ şartı açık.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-007,enpara,Enpara,Tier 2,Enpara Şirketim masrafsız bankacılık paketi,Masrafsız bankacılık,Şirketim müşterisi firmalar,Enpara Şirketim'e başvuran ve hesabı açılan firmalar,Hayır,Online başvuru + müşteri danışmanı ziyareti,Enpara Şirketim sayfası kısa başvuru formu sonrası ziyaret randevusu oluşturulduğunu ve hesap açılışının müşteri danışmanı ziyaretiyle tamamlandığını belirtiyor.,EFT/FAST/havale işlemleri için sürekli masrafsızlık; kredi kartı aidatı yok; POS'ta aidat/ücret/bloke yok,Sürekli masrafsızlık,Süresiz,EFT/FAST/Havale masrafı yok; ticari kredi kartı aidatı yok; POS aidat/ücret/bloke yok,Enpara Şirketim başvuru formunu doldurmak ve hesap açılış ziyaretini tamamlamak,Firma kabulü Enpara başvuru ve değerlendirme sürecine bağlı,,,Aktif,Yüksek,https://www.enpara.com/sirketim,2026-09-04,Yeni tüzel müşteri ediniminde kampanya yerine kalıcı masrafsızlık vaadi kullanılıyor; Akbank'ın paket ücretleri ve POS maliyet anlatımıyla kıyaslanmalı.,Saf DOB değil; online başvuru sonrası fiziksel/yerinde tamamlanan hibrit açılış akışı.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-008,denizbank,DenizBank,Tier 2,DenizBank Business Kart 0 TL yıllık kart ücreti,Ücretsiz ticari kart,Şahıs şirketi / tüzel şirket,DenizBank Business Kart müşterileri,Hayır,Başvuru kanalı kaynakta DOB şartı olarak belirtilmiyor,DenizBank ücret formunda DenizBank Business Kart asıl ve ek kart yıllık ücretinin 0 TL olduğu görülüyor; yeni müşteri veya DOB şartı belirtilmiyor.,DenizBank Business Kart için asıl kart ve ek kart yıllık üyelik ücreti 0 TL; ticari kart üzerinden bağlı nakit/limit ürünlerine erişim,0 TL yıllık kart ücreti,Yıllık,DenizBank Business Kart asıl ve ek kart üyelik ücreti 0 TL,DenizBank Business Kart başvurusu yapmak,Kart tahsisi DenizBank değerlendirmesine bağlı,,,Aktif,Orta,https://www.denizbank.com/medium/document-file-9818.vsf,2026-09-04,Yeni müşteri kampanyası değil ama ticari kart maliyetinde net fiyat avantajı var; Akbank ticari kart aidat/fayda dengesinde karşılaştırabilir.,DOB şartı bulunamadı; ürün/ücret avantajı olarak izlenmeli.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-009,odeabank,Odeabank,Tier 2,Odea Ayrıcalıklar Dünyası ücretsiz EFT/Havale/FAST,Ücretsiz işlem paketi,Varlığı 500.000 TL üzeri müşteriler,Ayrıcalıklar Dünyası programına dahil müşteriler,Hayır,Odea Mobil / İnternet Bankacılığı / şube,Odeabank sayfası ücretsiz hizmetin Ayrıcalıklar Dünyası programına dahil ve minimum 500.000 TL varlığı olan müşterilere verildiğini; DOB veya yeni müşteri şartı olmadığını gösteriyor.,İşlem adet ve sınırı olmadan ücretsiz EFT/Havale ve FAST ayrıcalığı,Sınırsız ücretsiz transfer,Varlık koşulu sürdükçe,EFT/Havale/FAST ücretsiz,Ayrıcalıklar Dünyası program şartını sağlamak,Minimum 500.000 TL varlık ve programa dahil olma koşulu,,,Aktif,Orta,https://www.odeabank.com.tr/odea-ayricaliklar-dunyasi/ucretsiz-efthavale,2026-09-04,Doğrudan KOBİ edinimi değil; varlıklı müşteri ilişkisinde transfer maliyeti avantajı olarak izlenmeli.,Tüzel/KOBİ özel kampanya olmadığı için yönetici yorumunda kapsam notu korunmalı.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
NCO-010,alternatif_bank,Alternatif Bank,Tier 2,Alternatif Bank ücretsiz ticari kart üyelik ücreti,Ücretsiz ticari kart,Ticari kart müşterileri,Ücretsiz ticari kart kullanan ticari müşteriler,Hayır,Şube / dijital başvuru kanalları kaynakta DOB şartı olarak ayrışmıyor,Alternatif Bank ücret tablosunda ücretsiz ticari kart üyelik ücretinin asgari ve azami 0 TL olduğu görülüyor; DOB veya yeni müşteri şartı belirtilmiyor.,Ücretsiz ticari kart için üyelik ücreti 0 TL; diğer Business kart programlarında ayrı ücretler mevcut,0 TL üyelik ücreti,Yıllık,Ücretsiz Ticari Kart üyelik ücreti 0 TL,Ücretsiz ticari kart başvurusu yapmak,Ticari kart tahsisi Alternatif Bank değerlendirmesine bağlı,,,Aktif,Orta,https://www.alternatifbank.com.tr/bilgi-merkezi/urun-ve-hizmet-ucretleri,2026-09-04,Tier 2 ticari kart maliyet karşılaştırmasında izlenmeli; yeni müşteri/DOB edinim kampanyası değil.,Alternatif Bank'ta kurumsal dijital onboarding var ancak bu ücret avantajıyla doğrudan bağlanmış bir DOB şartı bulunmadı.,200,Erişildi,,new_customer_daily_33851888475,Türkiye
