awareness_id,summary_id,recent_item_id,institution_name,item_title,item_date,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,confidence_level,strategic_theme,product_area,development_type,awareness_reason,source_url,item_url,review_status,analyst_note,reviewer,reviewed_at,created_at
MAQ-1c5332b26f62,SUM-7a515d33bfd9,RI-4ddd18aa0015,Garanti BBVA,Global Finance Türkiye’nin En İyi Bankası Ödülü,20 Mayıs 2026,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül, finansal performans, sürdürülebilir büyüme ve müşteri odaklı inovasyona dayandırılıyor.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibarını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Yönetim için bilinmesi gereken bir sinyaldir, ama BD veya ürün stratejisini değiştirmez.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,Aksiyon önerisi yönetici bilgilendirme notuna ekleme.,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,Onaylandı,Ödül haberi doğrudan BD aksiyonu değil; yönetici farkındalığı ve itibar sinyali olarak ayrı bölümde gösterilmeli.,Demo Radar,2026-06-16T13:30:57.402408+00:00,2026-06-16T13:05:20.845633+00:00
MAQ-fb08dacf886e,SUM-9e4bcb40d661,RI-f6167c763174,Alternatif Bank,"Alternatif Bank’a Kurumsal, Ticari Bankacılık ve Dış Ticarette 3 Uluslararası Ödül!",05 Mayıs 2026,"Alternatif Bank'a 3 Uluslararası Ödül (Kurumsal, Ticari Bankacılık, Dış Ticaret)","Alternatif Bank, Stevie Awards'ta VOV Tüzel Hesap ürünü için Bronz Ödül, Global Brands Magazine'den Ticaret Finansmanı Mükemmellik Ödülü ve IFC'den Sürdürülebilir Dış Ticaret Üstün Başarı Ödülü aldı. Ödüller, bankanın kurumsal ve dış ticaret alanındaki konumlandırmasını güçlendirmeyi amaçlayan PR faaliyeti.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Alternatif Bank'ın kurumsal itibarını destekliyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Ödüller geçmiş performansa yönelik ve yeni ürün/hizmet lansmanı içermiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://www.alternatifbank.com.tr/hakkimizda/basin-odasi/basin-bultenleri-ve-duyurular,https://www.alternatifbank.com.tr/hakkimizda/basin-odasi/basin-bultenleri-ve-duyurular/alternatif-banka-uc-uluslararasi-odul,Onaylandı,,,2026-06-25T12:34:57.836563+00:00,2026-06-25T12:28:41.574148+00:00
MAQ-c32024e80b3b,SUM-7128cadc4525,RI-25a788170d4d,Şekerbank,Şekerbank’ın “Yerinde Kredi” platformuna The Banker’dan ödül,15.05.2026,Şekerbank Yerinde Kredi platformu The Banker ödülü aldı,"Şekerbank, The Banker tarafından düzenlenen Technology Awards 2026'da Yerinde Kredi platformuyla Digital Transformation Project kategorisinde birinci oldu. Platform, çiftçi ve esnaf müşterilerine sahada anında kredi kullanımı imkanı sağlıyor.","The Banker ödülü, Şekerbank’ın saha finansmanı modeli Yerinde Kredi’nin görünürlük kazandığını gösteriyor; doğrudan ürün ya da fiyat yanıtı gerektirmiyor.","Bu haberin önemi ödülden çok, çiftçi ve esnaf müşterilere şube dışı kredi erişimi sağlayan modelin dış doğrulama alması. Akbank için takip noktası, benzer saha finansmanı ve dağıtım modellerinin KOBİ kredi deneyimini nasıl etkilediği.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Orta,Yüksek,KOBİ Kredileri,KOBİ Kredileri,Ödül / İtibar Sinyali,Gelişme doğrudan BD aksiyonu değil; yönetici farkındalığı için izlenmeli.,https://www.sekerbank.com.tr/hakkimizda/basin-odasi,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbankin-yerinde-kredi-platformuna-the-bankerdan-odul,Onaylandı,,,2026-06-26T09:00:08.964674+00:00,2026-06-26T06:34:44.574463+00:00
MAQ-4e62e5787775,SUM-5d4774f81549,RI-690d9a275508,Türk Ticaret Bankası,2026 yılı ilk çeyreğini güçlü finansal sonuçlarla tamamladık,01.05.2026,Türk Ticaret Bankası ihracat finansmanı kapasite sinyali verdi,"Türk Ticaret Bankası, 2026 ilk çeyrekte nakdi kredi hacmini 40,5 milyar TL'ye, nakdi ve gayri nakdi kredi toplamını 79 milyar TL'ye çıkardığını açıkladı. Açıklamada kredilerin neredeyse tamamının ihracatçı kesimi finanse ettiği ve kredilerin aktif içindeki payının yüzde 65'e yükseldiği belirtiliyor.",İhracat finansmanı kapasite sinyali; ürün veya fiyat hamlesi değil.,"Bu haberin önemi, bankanın ihracat finansmanına ayırdığı kredi kapasitesini görünür kılması. Bu tek başına müşteri kazanımı veya pazar payı kanıtı değil; yönetici notunda kapasite sinyali olarak izlenmeli.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,Yüksek,KOBİ Kredileri,KOBİ Kredileri,Yönetim Açıklaması,Gelişme doğrudan BD aksiyonu değil; yönetici farkındalığı için izlenmeli.,https://www.turkticaretbankasi.com.tr/icerikler/haberler,https://www.turkticaretbankasi.com.tr/icerik/2026-yili-ilk-ceyregini-guclu-finansal-sonuclarla-tamamladik,Arşivlendi,,,2026-06-26T12:01:42.491919+00:00,2026-06-26T11:53:33.128519+00:00
MAQ-5b11a686050b,SUM-3232561491f8,RI-4bd38c2acf44,Garanti BBVA,Global Finance Türkiye’nin En İyi Nakit Yönetimi Bankası Ödülü,26 Haziran 2026,"Garanti BBVA, Global Finance'ten Türkiye'nin En İyi Nakit Yönetimi Bankası Ödülünü Aldı","Garanti BBVA, Global Finance tarafından düzenlenen 2026 ödüllerinde Türkiye'nin En İyi Nakit Yönetimi Bankası seçildi. Banka, tahsilat, ödeme, finansman ve entegrasyon çözümlerinden oluşan geniş ekosistem ile 650 bin müşteriye nakit yönetimi hizmeti veriyor.","Garanti BBVA, nakit yönetimi alanında liderlik konumunu pekiştiriyor; Akbank için nakit yönetimi ve API tabanlı entegrasyon çözümlerinde rekabet yoğunluğu artıyor.","Bu haberin önemi, Garanti'nin nakit yönetimi ekosistemini (DCS, SWIFT GPI, SWIFT Go, sanal IBAN, API servisleri, tedarik zinciri finansmanı) aktif olarak geliştirip pazarlaması. Akbank için asıl soru, KOBİ müşterilerimizin tahsilat-ödeme-finansman entegrasyonu tarafında benzer çözüm derinliğine ve müşteri tabanına sahip olup olmadığı.",Orta,İzle,Orta,Yüksek,Nakit Yönetimi,Nakit Yönetimi,Pazar Sinyali,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-nakit-yonetimi-bankasi-odulu-2026,Onaylandı,,,2026-06-30T10:29:20.373240+00:00,2026-06-29T13:41:15.526318+00:00
MAQ-56652fb94c50,SUM-efd27b0b1813,RI-72a7858ec0d4,Garanti BBVA,Toplumsal Cinsiyet Eşitliği İçin 30 Milyon Dolarlık Tahvil İhracı,8 Temmuz 2026,"Garanti BBVA, toplumsal cinsiyet eşitliği için 30 milyon dolarlık tahvil ihraç etti","Garanti BBVA, toplumsal cinsiyet eşitliğini destekleyen projelere kaynak sağlamak üzere 30 milyon dolarlık Turuncu Tahvil İlkeleri uyumlu sürdürülebilir tahvil ihraç etti. Tahvil geliri, kadın girişimciliği, kadın liderliği, istihdam eşitliği ve finansal kapsayıcılık alanında kullanılacak.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik kurumsal itibar ve ESG konumlandırması için tasarlanmış. KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital yolculuk tarafında pratik bir ürün, fiyat veya kanal değişikliği içermiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Yönetim Açıklaması,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/toplumsal-cinsiyet-esitligi-odakli-30-milyon-dolarlik-surdurulebilir-tahvil-ihraci,Reddedildi,,,2026-08-18T14:07:47.070705+00:00,2026-08-15T04:10:47.893834+00:00
MAQ-01cf3b4dd55f,SUM-bb927ae4360d,RI-30ff8b18474e,Türk Ticaret Bankası,Türk Ticaret Bankası Büyümesini İkinci Çeyrekte de Sürdürdü,01.08.2026,Türk Ticaret Bankası Q2 2026 finansal sonuçları açıklandı,"Türk Ticaret Bankası, 2026 yılının ikinci çeyreğinde aktif büyüklüğü 76 milyar TL'ye, toplam kredileri 89 milyar TL'ye, mevduatı 57 milyar TL'ye çıkardığını ve net kârını %107 artışla 361 milyon TL'ye ulaştırdığını duyurdu. Banka, ihracatçı finansmanında uzmanlaşma stratejisini sürdürdüğünü belirtti.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Türk Ticaret Bankası'nın kurumsal itibar ve yönetim açıklaması niteliğinde. KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital yolculuk tarafında Akbank'ı doğrudan etkileyen bir ürün, kampanya veya kanal stratejisi içermiyor.",Düşük,Önceliklendirme,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Yönetim Açıklaması,Gelişme doğrudan BD aksiyonu değil; yönetici farkındalığı için izlenmeli.,https://www.turkticaretbankasi.com.tr/icerikler/haberler,https://www.turkticaretbankasi.com.tr/icerik/turk-ticaret-bankasi-buyumesini-ikinci-ceyrekte-de-surdurdu,Reddedildi,,,2026-08-18T14:06:23.690780+00:00,2026-08-15T04:10:47.903457+00:00
MAQ-366e3313a686,SUM-bef64585da21,RI-caeec0d23d21,Shopify,"The next era of commerce, built by partners",2026-07-28,"Shopify, partner ekosisteminin ücret yapısını yeniden tasarladı","Shopify, ortaklarının ödül sistemini basitleştirerek başarıyı merchant büyümesine bağladı. Yeni Catalog API aracılığıyla ortaklar, geleneksel mağaza dışında satış yapan deneyimlerden de komisyon kazanabilecek.","Shopify, ortaklarını daha fazla merchant başarısına bağlayarak ekosistem bağlılığını güçlendiriyor; KOBİ finans ortaklıkları tarafında izlenmeli.","Bu haberin önemi, Shopify'ın ortaklarını (ajanslı, yazılım geliştiriciler, hizmet sağlayıcılar) merchant büyümesine doğrudan bağlaması. Akbank için asıl soru, benzer şekilde KOBİ ekosistemindeki ortakları (muhasebe yazılımı, POS, e-ticaret platformları) finansal ürünlere bağlayıp bağlayamayacağı ve bu ortaklıkların mevduat, kredi veya ödeme çözümü satışını ne kadar hızlandırabileceği.",Orta,BD Konuşma Notlarına Ekle,Orta,Yüksek,Ekosistem İş Birlikleri,Ekosistem İş Birlikleri,Yönetim Açıklaması,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://www.shopify.com/news,https://www.shopify.com/news/a-world-with-more-builders,Onaylandı,,,2026-08-18T14:03:43.240002+00:00,2026-08-15T04:10:47.904199+00:00
MAQ-fab159774db8,SUM-44d55029c407,RI-55a40a74d932,The Paypers,Ingenico secures EUR 150 million capital investment from PIMCO group,2026-08-17,"Ingenico, PIMCO'dan 150 milyon euro yatırım aldı","Ingenico, ödeme cihazları ve bulut platformu sağlayıcısı olarak PIMCO liderliğindeki yatırımcı grubundan 150 milyon euro sermaye aldı. Fonlar ürün geliştirme, operasyonel iyileştirmeler ve müşteri destek ekibinin genişletilmesine yönlendirilecek.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Ingenico'nun finansal güçlenmesini gösteriyor, ancak Akbank KOBİ mevduat, kredi, POS tahsilat, gömülü finans veya dijital yolculuk stratejisine doğrudan etki yaratmıyor. Ingenico bir cihaz/platform sağlayıcısı; Akbank'ın doğrudan rakibi değil.",Düşük,Önceliklendirme,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://thepaypers.com/news,https://thepaypers.com/payments/news/ingenico-secures-eur-150-million-capital-investment-from-pimco-group,Onaylandı,,,2026-08-18T14:02:33.644834+00:00,2026-08-18T04:11:04.830066+00:00
MAQ-a9be4533821e,SUM-e3d631ff0a8d,RI-090b33683a91,Garanti BBVA,AI in Finance Awards 2026,26 Ağustos 2026,"Garanti BBVA, AI in Finance Awards'ta kişiselleştirilmiş danışmanlık ödülü aldı","Garanti BBVA, Global Finance tarafından düzenlenen AI in Finance Awards 2026'da Türkiye ve Batı Avrupa kategorilerinde kişiselleştirilmiş finansal danışmanlık ödülü kazandı. Banka, yapay zekâ destekli Ugi dijital asistanı ve veri odaklı karar mekanizmalarını ödül gerekçesi olarak sundu.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibarını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Ödül, tüketici bankacılığı (perakende müşteriler ve 18,5 milyon mobil kullanıcı) odaklı olup, KOBİ ürün veya hizmet stratejisine dokunmuyor.",Düşük,Önceliklendirme,Düşük,Yüksek,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,"Majör ödül, ranking veya itibar sinyali yönetici farkındalığı gerektiriyor.",https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/ai-in-finance-awards-2026,Beklemede,,,,2026-08-31T07:06:03.168904+00:00
