institution_name,source_id,source_name,item_title,item_url,publication_date,recency_basis_date,recency_basis_type,date_confidence,source_role,customer_segment,content_role,relevance_evidence,duplicate_status,revision_status,eligible_for_claude,proposed_destination,rejection_reason,notes
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Miles&Smiles Garanti BBVA Diamond Limited Edition Kredi Kartı,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-ve-thyden-25-yillik-is-birligine-ozel-kredi-karti,2026-06-24,2026-06-24,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,Kampanya veya müşteri teklifi sinyali içeriyor.,unique_or_not_saved,,True,Claude Eligibility Gate,,Kesim tarihi ve tarih güveni uygun: 2026-06-24
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,TÜRKONFED ve Garanti BBVA’dan Ankara’da İkiz Dönüşüm Buluşması,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/turkonfed-ve-garanti-bbvadan-ankarada-ikiz-donusum-bulusmasi,2026-06-23,2026-06-23,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",unique_or_not_saved,,True,Claude Eligibility Gate,,Kesim tarihi ve tarih güveni uygun: 2026-06-23
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA TOBFED İş Birliği,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,2026-05-22,2026-05-22,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,Kampanya veya müşteri teklifi sinyali içeriyor.,duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-05-22
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Global Finance Türkiye’nin En İyi Nakit Yönetimi Bankası Ödülü,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-nakit-yonetimi-bankasi-odulu-2026,2026-06-26,2026-06-26,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",unique_or_not_saved,,True,Claude Eligibility Gate,,Kesim tarihi ve tarih güveni uygun: 2026-06-26
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA Sürdürülebilirlik Koordinasyonu,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilirlik-koordinasyonu,2026-06-17,2026-06-17,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"Ürün, API, POS, ödeme, tahsilat veya dijital özellik gelişmesi sinyali içeriyor.",duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-06-17
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Sorumlu Tedarik Zinciri Bağımsız Güvence ve Uyum Raporu,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/sorumlu-tedarik-zinciri-bagimsiz-guvence-ve-uyum-raporu,2026-06-16,2026-06-16,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"Ürün, API, POS, ödeme, tahsilat veya dijital özellik gelişmesi sinyali içeriyor.",duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-06-16
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Kadın Girişimcilerin Finansmana Erişimi İçin Yeni Destek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,2026-06-12,2026-06-12,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,Kampanya veya müşteri teklifi sinyali içeriyor.,duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-06-12
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA Sürdürülebilir Sendikasyon Kredisi,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi,2026-06-11,2026-06-11,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,Kampanya veya müşteri teklifi sinyali içeriyor.,duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-06-11
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Kurumsal Hafızada 80 Yıllık Yolculuk,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kurumsal-hafizada-80-yillik-yolculuk,2026-06-02,2026-06-02,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"KOBİ stratejisine doğrudan bağlanmayan kültür, sanat veya sosyal sorumluluk PR içeriği.",unique_or_not_saved,,False,No destination due rejection,"KOBİ stratejisine doğrudan bağlanmayan kültür, sanat veya sosyal sorumluluk PR içeriği.",Kesim tarihi ve tarih güveni uygun: 2026-06-02
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,2026-06-01,2026-06-01,publication_date,Yüksek,weekly_development,,Bağımsız Gelişme,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",duplicate,,False,No destination due rejection,duplicate_canonical_item_url,Kesim tarihi ve tarih güveni uygun: 2026-06-01
