development_id,date,institution_id,institution_name,headline,strategic_theme,product_area,development_type,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,source_id,analyst_note,tags,summary_id,recent_item_id,cluster_id,related_item_ids,source_urls,source_url,item_url,section,published_at
DEV-SUM-b1160e3116e8,12 Haziran 2026,garanti_bbva,Garanti BBVA,"Garanti BBVA, Kadın Girişimcilere 2 Milyar TL Kefalet Desteği",KOBİ Kredileri,KOBİ Kredileri,Kampanya,"Garanti BBVA, Kredi Garanti Fonu iş birliğiyle %50 ve üzeri kadın sahipliği olan KOBİ'lere için 2 milyar TL kefalet limiti ile yeni bir kredi destek paketini başlattı. Program içinde kadın girişimciler %80 kefalet desteğiyle en fazla 10 milyon TL kredi kullanabilecek.","Garanti BBVA, teminata erişimde zorlanan kadın girişimcileri hedef alan, kefalet desteğiyle desteklenmiş kredi paketini piyasaya sunuyor; KOBİ kredi tarafında izlenmeli.","Bu haberin önemi, Garanti'nin kadın girişimci segmentinde kredi ürünü ve kefalet mekanizmasını birleştirerek erişim bariyerini düşürmesi. Akbank için asıl soru, benzer segmentlerde (kadın, genç, yeni girişimci) kefalet destekli kredi paketlerinin pazar payı kazanımında ne kadar etkili olduğu ve Akbank'ın bu segmentlerde karşılaştırmalı pozisyonu.",Orta,İzle,Orta,REG-003,Kadın girişimcilere kefalet desteği KOBİ kredileri ve segment stratejisi açısından yönetici radarına alınmalı.,recent_item_flow;summary_id:SUM-b1160e3116e8;recent_item_id:RI-a1196981f113;confidence:Yüksek,SUM-b1160e3116e8,RI-a1196981f113,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,Stratejik / BD Gelişmeleri,2026-06-16T13:30:57.656186+00:00
DEV-SUM-b0b2dad9c14e,21 Mayıs 2026,garanti_bbva,Garanti BBVA,"Garanti BBVA, BKM entegrasyonlu Ödeme İste API'yi canlı ortama aldı",Ödemeler ve POS,Ödemeler ve POS,Ürün Lansmanı,"Garanti BBVA, firmalar için tahsilat süreçlerini kendi sistemlerine entegre edebilen Ödeme İste API çözümünü hayata geçirdi. Uludağ Elektrik ile pilot uygulamada müşteriler banka uygulamasına gelen ödeme taleplerini tek onaylamayla tamamlayabiliyor.","Garanti, tahsilat API'sini KOBİ ve kurumsal müşterilere açıyor; nakit yönetimi ve ödeme otomasyonu tarafında izlenmeli.","Bu haberin önemi, Garanti'nin tahsilat süreçlerini KOBİ müşterilerinin kendi sistemlerine entegre etmesi. Akbank için asıl soru, benzer API tabanlı tahsilat/nakit yönetimi çözümlerinin KOBİ müşteri tutma ve yeni kazanımda ne kadar etkili olduğu ve Akbank'ın Developer Portal üzerinden benzer erişim sunup sunmadığı.",Orta,İzle,Orta,REG-003,Ödeme İste API canlıya geçişi tahsilat ve KOBİ nakit akışı odağında Akbank için izlenmesi gereken ürün sinyali.,recent_item_flow;summary_id:SUM-b0b2dad9c14e;recent_item_id:RI-c8641a4c3026;confidence:Yüksek,SUM-b0b2dad9c14e,RI-c8641a4c3026,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,Stratejik / BD Gelişmeleri,2026-06-16T13:30:57.656186+00:00
DEV-SUM-591c52efdfee,22 Mayıs 2026,garanti_bbva,Garanti BBVA,"Garanti BBVA, otomotiv satış sonrası hizmetler kanalına anında alışveriş kredisi yerleştiriyor",Gömülü Finans,Gömülü Finans,İş Birliği,"Garanti BBVA, TOBFED (Türkiye Araç Satış Sonrası Hizmetler Federasyonu) ile iş birliği yaparak, Yetkili Uygulama Merkezleri ve sektörel işletmelerde müşterilere satış noktasında anında alışveriş kredisi sunuyor. Müşteriler şubeye gitmeden, hızlı ve dijital süreçlerle finansmana erişebiliyor.","Garanti BBVA, kredi ürününü otomotiv satış sonrası hizmetler kanalına yerleştiriyor; gömülü finans tarafında izlenmeli.","Bu haberin önemi TOBFED isminden çok, Garanti'nin finansmanı sektör kanalı üzerinden satış noktasına taşıması. Akbank için benzer sektör birlikleri, servis ağları veya ticari ortaklıklar üzerinden kredi/ödeme çözümü fırsatlarını düşündürür.",Orta,İzle,Orta,REG-003,TOBFED iş birliği gömülü finans ve sektör kanalı üzerinden kredi dağıtımı için BD konuşma notuna alınmalı.,recent_item_flow;summary_id:SUM-591c52efdfee;recent_item_id:RI-69b5a4d8b3c2;confidence:Yüksek,SUM-591c52efdfee,RI-69b5a4d8b3c2,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,Stratejik / BD Gelişmeleri,2026-06-16T13:30:57.656186+00:00
DEV-SUM-19e6bfe01cfd,2026-06-16,yapi_kredi,Yapı Kredi,Yapı Kredi'den yeni KOBİ müşterilerine 48.000 TL ücretsiz işlem paketi,Kampanyalar,KOBİ Mevduat,Kampanya,"Yapı Kredi, Yapı Kredi Mobil üzerinden ilk defa müşteri olan ve ticari üyelik açan şahıs işletmeleri ile limited şirketlere 6 ay EFT/havale/çek tahsilatı ve 1 yıl EFT/havale ücretsiz sunuyor. Kampanya, yeni ticari müşteri kazanımını fiyat avantajı üzerinden desteklemek için tasarlanmış.","Yapı Kredi, yeni ticari müşteri kazanımını ücret muafiyetleriyle destekliyor; KOBİ mevduat ve nakit yönetimi tarafında izlenmesi gereken bir taktik.","Akbank için asıl soru, bu tip ücretsiz işlem paketlerinin yeni KOBİ müşteri kazanımında ne kadar etkili olduğu. Kampanya doğrudan ürün yeniliği değil, fiyat avantajı üzerinden edinim taktiği; benzer paket yapılarının Akbank KOBİ'de rekabetçi konumlandırılması gerekebilir.",Orta,İzle,Orta,REG-011,Yeni firma müşteri kazanımı ve işlem paketi kurgusu KOBİ kampanya rekabeti için izlenmeli.,recent_item_flow;summary_id:SUM-19e6bfe01cfd;recent_item_id:RI-d446caf4eae6;confidence:Yüksek,SUM-19e6bfe01cfd,RI-d446caf4eae6,,,,https://www.yapikredi.com.tr/kampanyalar/kategori/kobi/,https://www.yapikredi.com.tr/kampanyalar/detay/253386,Stratejik / BD Gelişmeleri,2026-06-16T13:30:57.656186+00:00
DEV-SUM-fd82478b7312,2026-06-01,qnb_finansbank,QNB Finansbank,"QNB, kadın girişimcilere Folio AI indirim kampanyası (Haziran 2026)",Ekosistem İş Birlikleri,Ekosistem İş Birlikleri,Kampanya,"QNB Finansbank, Mastercard Ticari Kart sahibi kadın girişimcilere Folio AI (yapay zekâ destekli dijital katalog platformu) üyeliklerinde %25 indirim sunuyor. Kampanya 01.06.2026 - 01.07.2026 tarihleri arasında geçerli.",Ticari kart aktivasyonunu desteklemek için ekosistem ortağı (Folio AI) üzerinden hedef müşteri segmentine (kadın girişimciler) için fiyat avantajı kampanyası; izlenmeli.,"Bu haberin önemi, QNB'nin ticari kart müşterilerini dijital ticaret araçlarına bağlayarak kart kullanım sıklığını artırma taktiklerinden biri olması. Akbank için asıl soru, benzer ekosistem ortaklıkları (muhasebe yazılımı, e-ticaret platformu, dijital pazarlama araçları) üzerinden ticari kart aktivasyonu ve KOBİ müşteri bağlılığını artırmanın ne kadar etkili olduğu.",Orta,BD Konuşma Notlarına Ekle,Orta,REG-062,QNB'nin kadın girişimcilere yazılım indirimi KOBİ ekosistem faydaları açısından sınırlı ama kullanılabilir bir rekabet sinyali.,recent_item_flow;summary_id:SUM-fd82478b7312;recent_item_id:RI-6764088a0677;confidence:Yüksek,SUM-fd82478b7312,RI-6764088a0677,,,,https://www.qnbcard.com.tr/kartlar/ticari-kartlar/qnb-kobi-ticari-kredi-karti/qnb-kobi-ticari-kredi-karti-kampanyalari,https://www.qnbcard.com.tr/kartlar/ticari-kartlar/qnb-kobi-ticari-kredi-karti/qnb-kobi-ticari-kredi-karti-kampanyalari/folio-ai-uyeliklerinde-25-indirim,Stratejik / BD Gelişmeleri,2026-06-16T13:30:57.656186+00:00
DEV-CL-7c4d694ed217,2026-06-01,,İş Bankası,İş Bankası ticari kart aktivasyonunu Haziran kampanyalarıyla destekliyor,Kampanyalar,Ödemeler ve POS,Patern / Küme,İş Bankası ticari kart kullanımını artırmak için birden fazla kart/MaxiPuan kampanyasını aynı dönemde yürütüyor.,Tekil kampanyalar küçük; birlikte ticari kart aktivasyonu için net rekabet sinyali.,Küme sentezi için analist kontrolü gerekli.,Orta,BD Konuşma Notlarına Ekle,Orta,,İş Bankası'nın ticari kart kampanyaları tekil haberden daha anlamlı bir aktivasyon paterni oluşturuyor.,cluster_flow;cluster_id:CL-7c4d694ed217;item_count:5,,,CL-7c4d694ed217,"[""RI-3478d5383e68"", ""RI-f26c47687a3a"", ""RI-4a32a729e83d"", ""RI-60c87040f497"", ""RI-f59fd7ffaf9b""]","[""https://www.isbank.com.tr/kampanyalar/maximumun-25-yilina-ozel-ticari-kredi-kartiniz-ile-yapacaginiz-harcamalara-maxipuan"", ""https://www.isbank.com.tr/kampanyalar/ticari-bankamatik-kartiniz-ile-yapacaginiz-harcamalara-maxipuan-kampanyasi"", ""https://www.isbank.com.tr/kampanyalar/ticari-kredi-karti-ile-yurt-disi-harcamalara-maxipuan-firsati"", ""https://www.isbank.com.tr/kampanyalar/esnafa-3lu-kazanc-paketi"", ""https://www.isbank.com.tr/kampanyalar/vergi-odemelerinizi-taksitlendirme-imkani""]",,,Patern / Küme Gelişmeler,2026-06-16T13:30:57.899181+00:00
DEV-MA-SUM-7a515d33bfd9,20 Mayıs 2026,,Garanti BBVA,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,Kurumsal Konumlandırma,Diğer,Yönetici Bilgilendirme,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül, finansal performans, sürdürülebilir büyüme ve müşteri odaklı inovasyona dayandırılıyor.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Garanti BBVA'nın kurumsal itibarını güçlendiriyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Yönetim için bilinmesi gereken bir sinyaldir, ama BD veya ürün stratejisini değiştirmez.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,,Ödül haberi doğrudan BD aksiyonu değil; yönetici farkındalığı ve itibar sinyali olarak ayrı bölümde gösterilmeli.,management_awareness;summary_id:SUM-7a515d33bfd9;recent_item_id:RI-4ddd18aa0015,SUM-7a515d33bfd9,RI-4ddd18aa0015,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,Yönetici Bilgilendirme / İtibar Sinyalleri,2026-06-16T13:30:58.148704+00:00
DEV-SUM-e65b3c66946a,2026-05-27,visa,Visa,"Visa, ticari kart tahsilatını otomatikleştirmek için AR Manager'ı entegre ediyor",Nakit Yönetimi,Nakit Yönetimi,Ürün Lansmanı,"Visa, Commercial Solutions Hub'ına Accounts Receivable Manager'ı entegre ediyor; banka müşterilerinin tedarikçilere sanal kart gönderebilmesini ve tahsilat sürecini otomatikleştirmesini sağlıyor. Eylül 2026'da 69 coğrafyada uygun müşterilere ücretsiz olarak sunulacak.","Visa, ticari kart tahsilatını otomatikleştirmek için banka-tedarikçi bağlantısını doğrudan ürüne yerleştiriyor; nakit yönetimi ve ticari kart aktivasyonu tarafında izlenmeli.","Bu haberin önemi, Visa'nın ticari kart programlarının ölçeklendirilmesini banka tarafında kolaylaştırması. Akbank için asıl soru, benzer tahsilat otomasyonu ve sanal kart entegrasyonunun KOBİ nakit yönetimi ürünlerine eklenip eklenmediği ve bu tür API-tabanlı çözümlerin müşteri aktivasyonunda ne kadar etkili olduğu.",Orta,İzle,Orta,REG-070,,recent_item_flow;summary_id:SUM-e65b3c66946a;recent_item_id:RI-6ee44cb3c25c;confidence:Yüksek,SUM-e65b3c66946a,RI-6ee44cb3c25c,,,,https://usa.visa.com/about-visa/newsroom.html,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22471.html,Stratejik / BD Gelişmeleri,2026-06-23T12:00:51.601767+00:00
DEV-SUM-5075570218a2,2026-06-10,visa,Visa,"Visa, OpenAI ile AI Ticaret Ödemeleri İçin Ortaklık Kurdu",Ekosistem İş Birlikleri,Ödemeler ve POS,İş Birliği,"Visa, OpenAI ile stratejik bir ortaklık duyurdu; Visa'nın ödeme ağı ve güvenlik altyapısı, OpenAI'nin AI ajanları tarafından başlatılan işlemleri destekleyecek. Ortaklık, tokenize kimlik bilgileri, gerçek zamanlı yetkilendirme ve hile izleme ile güvenli agentic commerce deneyimleri sağlamayı hedefliyor.","Visa, ödeme işlevselliğini AI ajanlarına gömüyor; gömülü finans ve API-tabanlı ödeme entegrasyonları tarafında izlenmesi gereken bir hamle.","Bu haberin önemi, Visa'nın ödeme ağını doğrudan yazılım ajanlarına entegre etmesi. Akbank için asıl soru, benzer API-tabanlı ödeme çözümlerinin KOBİ yazılım ortakları (muhasebe, e-ticaret, ERP) üzerinden sunulup sunulmadığı ve bu kanalın KOBİ işlem hacmi büyütmede ne kadar etkili olabileceği.",Orta,İzle,Orta,REG-070,,recent_item_flow;summary_id:SUM-5075570218a2;recent_item_id:RI-b2c49f044f23;confidence:Yüksek,SUM-5075570218a2,RI-b2c49f044f23,,,,https://usa.visa.com/about-visa/newsroom.html,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22496.html,Stratejik / BD Gelişmeleri,2026-06-23T12:00:51.601767+00:00
DEV-SUM-f869ed7465c4,2026-06-10,visa,Visa,"Visa, yapay zeka ve stablecoin tabanlı ödeme altyapısını genişletiyor",Gömülü Finans,Ödemeler ve POS,Teknoloji Güncellemesi,"Visa, yapay zeka aracılı ticari işlemler için yeni kimlik doğrulama, işlem modelleri ve stablecoin ödeme seçenekleri sunuyor. Özellikle AI ajanları tarafından başlatılan işlemlerin güvenli ve doğrulanabilir hale getirilmesi, OpenAI ile ortaklık ve tokenize mevduat teknolojisine odaklanıyor.","Visa, ödeme altyapısını yapay zeka ve programlanabilir para (stablecoin) etrafında yeniden tasarlıyor; KOBİ ödeme ve tahsilat deneyimini uzun vadede etkileyebilecek bir hamle.","Bu haberin önemi, Visa'nın ödeme ağını AI-native işlemler için yeniden yapılandırması. Akbank için asıl soru, KOBİ müşterilerinin satış noktasında ve API üzerinden yapay zeka tabanlı ödeme çözümlerine erişim talep etmeye başlayıp başlamayacağı ve Akbank'ın bu talebi karşılayacak altyapısının hazır olup olmadığı.",Orta,İzle,Orta,REG-070,,recent_item_flow;summary_id:SUM-f869ed7465c4;recent_item_id:RI-b79c88b3b6e5;confidence:Yüksek,SUM-f869ed7465c4,RI-b79c88b3b6e5,,,,https://usa.visa.com/about-visa/newsroom.html,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22491.html,Stratejik / BD Gelişmeleri,2026-06-23T12:00:51.601767+00:00
