audit_id,run_id,institution_name,source_id,source_name,candidate_title,candidate_url,canonical_item_url,normalized_title,content_fingerprint,raw_date_text,publication_date,announcement_date,campaign_start_date,campaign_end_date,event_date_type,recency_basis_date,recency_basis_reason,is_active_campaign,active_campaign_reason,normalized_item_date,date_confidence,date_source,is_recent,recency_cutoff,recency_reason,development_candidate_type,is_actual_development,actual_development_reason,item_quality,saved_to_recent_items,rejected_reason,duplicate_of_recent_item_id,checked_at
RIAUD-96e00f890303,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA TOBFED İş Birliği,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,garanti bbva tobfed i̇ş birliği,a24aafe826c1a45ecc2760fcebb491baffc149e2dbb60dda00c3b10b859937f4,22 Mayıs 2026,,2026-05-22,,,Duyuru Tarihi,2026-05-22,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-22,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-22,Kampanya,True,Kampanya veya müşteri teklifi sinyali içeriyor.,Good,True,,,2026-06-15T12:18:24.592214+00:00
RIAUD-87e141f1e1db,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Ödeme İste API ile Tahsilatta Yeni Dönem,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,ödeme i̇ste api ile tahsilatta yeni dönem,68979aa86c2dbfe46a8488cda73f18c7e9e122103556c82936276a5a960b782c,21 Mayıs 2026,,2026-05-21,,,Duyuru Tarihi,2026-05-21,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-21,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-21,İş Birliği,True,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",Good,True,,,2026-06-15T12:18:24.808596+00:00
RIAUD-c32b39b6da66,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Kadın Girişimcilerin Finansmana Erişimi İçin Yeni Destek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kadin-girisimcilerin-finansmana-erisimi-icin-yeni-destek,kadın girişimcilerin finansmana erişimi i̇çin yeni destek,ca398f9366f29f39ff337f0c054a0da59ebd4bbf19e0699d7c2bce9604ff5993,12 Haziran 2026,,2026-06-12,,,Duyuru Tarihi,2026-06-12,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-06-12,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-06-12,Kampanya,True,Kampanya veya müşteri teklifi sinyali içeriyor.,Good,True,,,2026-06-15T12:18:25.008441+00:00
RIAUD-3891885cb566,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA Sürdürülebilir Sendikasyon Kredisi,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi,garanti bbva sürdürülebilir sendikasyon kredisi,ba2e94f6579fb0d0e3c8c5a22b1c4345bc0a523bc58b2926862513555837d065,11 Haziran 2026,,2026-06-11,,,Duyuru Tarihi,2026-06-11,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-06-11,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-06-11,Kampanya,True,Kampanya veya müşteri teklifi sinyali içeriyor.,Good,True,,,2026-06-15T12:18:25.209767+00:00
RIAUD-ff1221d05f10,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Global Summit of Women 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,global summit of women 2026,82fb782bfdb26b316ea38a0c0a386ad61fdaa9412ea3fc30b9bc7e50096e1f28,8 Haziran 2026,,2026-06-08,,,Duyuru Tarihi,2026-06-08,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-06-08,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-06-08,İş Birliği,True,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",Good,True,,,2026-06-15T12:18:25.428325+00:00
RIAUD-a19922e6d9a0,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Kurumsal Hafızada 80 Yıllık Yolculuk,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kurumsal-hafizada-80-yillik-yolculuk,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kurumsal-hafizada-80-yillik-yolculuk,kurumsal hafızada 80 yıllık yolculuk,adce12a56e0f69638a98714d41052e9fd75aa57afd2f194baa1bc4c7960f7ffc,2 Haziran 2026,,2026-06-02,,,Duyuru Tarihi,2026-06-02,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-06-02,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-06-02,İş Birliği,True,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",Good,True,,,2026-06-15T12:18:25.640046+00:00
RIAUD-ccf884b10fae,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,garanti bbva leasing sürdürülebilirlik çerçeve mutabakatı,25c926204aac9f48397bdaad6bb2e98e168eb735f29027f7a51dd314a5a78332,01 Haziran 2026,,2026-06-01,,,Duyuru Tarihi,2026-06-01,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-06-01,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-06-01,İş Birliği,True,"İş birliği, mutabakat veya entegrasyon duyurusu içeriyor.",Good,True,,,2026-06-15T12:18:27.482504+00:00
RIAUD-bb54b593d41a,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Salt 15 Yıldır Kültür Mirasını Geleceğe Taşıyor,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/salt-15-yildir-kultur-mirasini-gelecege-tasiyor,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/salt-15-yildir-kultur-mirasini-gelecege-tasiyor,salt 15 yıldır kültür mirasını geleceğe taşıyor,15c7b7f4495d1920ac1b218cf7bf2090cf609417dad38c067526be595271182c,22 Mayıs 2026,,2026-05-22,,,Duyuru Tarihi,2026-05-22,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-22,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-22,Ürün / Özellik Gelişmesi,True,"Ürün, API, POS, ödeme, tahsilat veya dijital özellik gelişmesi sinyali içeriyor.",Good,True,,,2026-06-15T12:18:27.685429+00:00
RIAUD-281f545dd86e,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Global Finance Türkiye’nin En İyi Bankası Ödülü,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,global finance türkiye’nin en i̇yi bankası ödülü,28d339a253acbc308a56fdf92b8e29d6c88cabf95eed0864d39397b2498a8ac6,20 Mayıs 2026,,2026-05-20,,,Duyuru Tarihi,2026-05-20,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-20,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-20,Ürün / Özellik Gelişmesi,True,"Ürün, API, POS, ödeme, tahsilat veya dijital özellik gelişmesi sinyali içeriyor.",Good,True,,,2026-06-15T12:18:27.919379+00:00
RIAUD-51dba3cafce3,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Türkiye 2025 İklim Değişikliği ve Doğa Raporu,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/dunyadaki-27-triple-a-seviyesindeki-sirketten-5i-turkiyeden,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/dunyadaki-27-triple-a-seviyesindeki-sirketten-5i-turkiyeden,türkiye 2025 i̇klim değişikliği ve doğa raporu,0d002b60f0954a1cc08cb08c3cd9e0e290b2849c3133af9b00b73049c66b47a8,20 Mayıs 2026,,2026-05-20,,,Duyuru Tarihi,2026-05-20,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-20,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-20,Kampanya,True,Kampanya veya müşteri teklifi sinyali içeriyor.,Good,True,,,2026-06-15T12:18:29.802800+00:00
RIAUD-911da47efc30,RUN-20260615121824,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,Global Finance Yatırım Bankaları Ödülleri,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-yatirim-bankalari-odulleri-2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-yatirim-bankalari-odulleri-2026,global finance yatırım bankaları ödülleri,9378d526dc4c212a2be2ceff7a336f42f31d44d4be83c2ba503617356c1dcf63,15 Mayıs 2026,,2026-05-15,,,Duyuru Tarihi,2026-05-15,Duyuru/basın tarihi bulundu; recency için kullanıldı.,False,,2026-05-15,Yüksek,announcement_date,True,2026-05-01,Kesim tarihi ve tarih güveni uygun: 2026-05-15,Ürün / Özellik Gelişmesi,True,"Ürün, API, POS, ödeme, tahsilat veya dijital özellik gelişmesi sinyali içeriyor.",Good,True,,,2026-06-15T12:18:30.011510+00:00
