institution_id,key_strengths,key_weaknesses,deposit_angle,embedded_finance_angle,payments_angle,threat_level,our_counter_positioning,bd_talking_points,open_questions
garanti_bbva,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
is_bankasi,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
akbank,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
yapi_kredi,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
qnb_finansbank,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
denizbank,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
teb,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Düşük,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
vakifbank,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
ziraat,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
halkbank,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
