review_id,summary_id,recent_item_id,document_id,source_id,institution_name,item_title,item_date,strategic_theme,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,confidence_level,item_url,source_url,review_status,reviewer,review_notes,approved_at
RIRQ-887567d1a9ab,SUM-98a26dbb161e,RI-cf2e45aea800,DOC-REG-003-20260609085925,REG-003,Garanti BBVA,Global Finance Türkiye’nin En İyi Bankası Ödülü,20 Mayıs 2026,Kurumsal Konumlandırma,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül kârlılık, büyüme, inovasyon ve müşteri odaklılık kriterlerine dayalı olarak verildi.","Bu, Garanti BBVA'nın kurumsal itibar ve marka konumlandırması için önemli bir ödül olsa da, KOBİ segmenti için doğrudan ürün, hizmet, fiyatlandırma veya operasyonel bir değişiklik içermemektedir.","Gelişme, rakibin genel pazar konumlandırması ve yönetim düzeyinde marka güçlendirmesini yansıtır. KOBİ mevduat, krediler, ödemeler, nakit yönetimi veya dijital yolculuk açısından somut bir strateji sinyali taşımamaktadır.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,https://www.garantibbva.com.tr/kurumsal-iletisim,Onaylandı,,,2026-06-10T12:19:24.032530+00:00
RIRQ-66675530a074,SUM-9732d5a61b9b,RI-a2501e99ef1b,DOC-REG-003-20260609085925,REG-003,Garanti BBVA,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,01 Haziran 2026,Global İyi Uygulama,Garanti BBVA Leasing Sürdürülebilirlikle Bağlantılı Kredi ve Faiz Swap İşlemleri Gerçekleştirdi,"Garanti BBVA, Garanti BBVA Leasing ile imzalanan sürdürülebilirlik çerçeve mutabakatı kapsamında 2 milyar TL tutarında sürdürülebilirlikle bağlantılı IRS işlemi ve 5 milyon euro tutarında sürdürülebilirlikle bağlantılı kredi işlemi gerçekleştirmiştir. İşlemler, sürdürülebilirlik performans kriterlerinin finansman ve risk yönetimi süreçlerine entegre edilmesini sağlamıştır. Bu, Garanti BBVA'nın bir iştirakiyle gerçekleştirdiği ilk sürdürülebilirlikle bağlantılı kredi ve IRS işlemidir.",,"Akbank KOBİ için, rekabet ortamında sürdürülebilir finansman uygulamalarının yaygınlaşması önemli bir pazar sinyalidir. Garanti BBVA'nın KOBİ ve orta ölçekli işletmelere yönelik sürdürülebilirlikle bağlantılı kredi ürünleri geliştirmesi, bu segmentte benzer yenilikçi çözümlerin talep göreceğini göstermektedir. KOBİ kredileri portfölyümüzde sürdürülebilirlik kriterlerinin entegrasyonu, müşteri beklentileri ve pazar trendleriyle uyumlu stratejik bir fırsattır.",Orta,İzle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,https://www.garantibbva.com.tr/kurumsal-iletisim,Onaylandı,,,2026-06-10T12:19:17.410822+00:00
RIRQ-724a87964eb7,SUM-b3b807ac4e09,RI-81e0090ecdd3,DOC-REG-003-20260609085925,REG-003,Garanti BBVA,Global Summit of Women 2026,8 Haziran 2026,Global İyi Uygulama,"Garanti BBVA, Kadın Girişimciliğine Yönelik 20 Yıllık Destek Modelini Global Summit of Women'da Paylaştı","Garanti BBVA, Global Summit of Women 2026'da kadın girişimciliğine yönelik 20 yıllık deneyimini ve KOBİ bankacılığı yaklaşımını uluslararası platformda sunmuştur. Son 5 yılda kadın girişimcilere 350 milyar TL finansman sağlayan banka, finansman, eğitim, cesaretlendirme ve pazara erişim olmak üzere dört temel alanda destek modelini açıklamıştır. Techstars iş birliği ve Startup Weekend Women gibi platformlarla kadın girişimcileri uluslararası ağlarla buluşturma stratejisini vurgulamıştır.",,"Garanti BBVA'nın KOBİ kredileri alanında geliştirdiği uzun soluklu, çok boyutlu destek modeli (finansman + eğitim + ağ geliştirme) global iyi uygulama olarak kabul görmektedir. Özellikle kadın girişimciler gibi spesifik segmentlere yönelik bütünleşik hizmet yaklaşımı, Akbank'ın KOBİ stratejisinde benzer ekosistem odaklı modeller geliştirme fırsatını göstermektedir. Uluslararası iş birliklerinin (IFC, Birleşmiş Milletler) ve startup platformlarının (Techstars) kullanılması, KOBİ segmentinde rekabetçi farklılaşma aracı olarak önem taşımaktadır.",Orta,İzle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,https://www.garantibbva.com.tr/kurumsal-iletisim,Onaylandı,,,2026-06-10T12:18:34.668144+00:00
RIRQ-5f8b7a06b498,SUM-79467bb4ae54,RI-0f5cfdbaa310,DOC-REG-003-20260609085925,REG-003,Garanti BBVA,Ödeme İste API ile Tahsilatta Yeni Dönem,21 Mayıs 2026,Ödemeler ve POS,"Garanti BBVA, BKM entegrasyonlu Ödeme İste API ile tahsilat dijitalleşmesini hızlandırıyor","Garanti BBVA, firmalar için kendi sistemlerine entegre edilebilen Ödeme İste API çözümünü canlı ortama aldı. Uludağ Elektrik örneğinde müşteriler banka uygulamasından gelen ödeme talebini tek onayda tamamlayabiliyor.","Bu, KOBİ ve kurumsal tahsilat süreçlerini dijitalleştiren ve operasyonel verimliliği artıran somut bir ürün lansmanıdır; Akbank'ın benzer API tabanlı tahsilat çözümü sunup sunmadığının kontrol edilmesi gerekir.","Garanti BBVA, KOBİ ve ticari firmaların nakit akışını hızlandırmak ve ödeme başarısını artırmak için API-first bir yaklaşım benimsemiştir. Bu, gömülü finans ve dijital tahsilat alanında rakibin KOBİ segmentine yönelik stratejik konumlandırmasını göstermektedir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,https://www.garantibbva.com.tr/kurumsal-iletisim,Onaylandı,,,2026-06-10T12:17:57.672212+00:00
RIRQ-400b65c1b658,SUM-219fbaf5d607,RI-098243c77e94,DOC-REG-003-20260609085925,REG-003,Garanti BBVA,Garanti BBVA TOBFED İş Birliği,22 Mayıs 2026,Ekosistem İş Birlikleri,"Garanti BBVA, TOBFED ile otomotiv satış sonrası hizmetler ekosisteminde anında alışveriş kredisi iş birliğine imza attı","Garanti BBVA, Türkiye Araç Satış Sonrası Hizmetler Federasyonu (TOBFED) ile stratejik iş birliği yaparak, anlaşmalı Yetkili Uygulama Merkezleri ve sektörel işletmelerde müşterilere anında alışveriş kredisi sunmaya başladı. İş birliği, müşterilerin şubeye gitmeden hızlı ve dijital süreçlerle finansmana erişimini sağlarken, işletmelerin satış süreçleri ve nakit akışlarını desteklemektedir. Bu model, sektörel ekosistem ortakları aracılığıyla gömülü finans ve KOBİ kredisi dağıtımının önemli bir örneğini temsil etmektedir.",,"Garanti BBVA'nın TOBFED iş birliği, sektörel ekosistem ortakları üzerinden gömülü finans ve KOBİ kredisi dağıtımı stratejisinin başarılı bir uygulamasıdır. Otomotiv satış sonrası hizmetler sektöründeki KOBİ işletmelere doğrudan finansman erişimi sağlayarak, müşteri deneyimini iyileştirirken işletmelerin nakit akışını desteklemektedir. Akbank için, benzer sektörel ekosistem ortaklıkları geliştirme ve gömülü finans çözümleri sunma açısından önemli bir rekabet sinyalidir.",Orta,İzle,Yüksek,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,https://www.garantibbva.com.tr/kurumsal-iletisim,Onaylandı,,,2026-06-10T12:12:36.783217+00:00
RIRQ-dff46d1c21df,SUM-d6355f047f71,RI-d810de770c4b,DOC-REG-006-20260610124523,REG-006,İş Bankası,amazon-pazar-yeri-hak-edis-odemesi-kampanyasi | Türkiye İş Bankası A.Ş.,01.02.2026,Ekosistem İş Birlikleri,İş Bankası Amazon Satıcılarına Hak Ediş Ödemesi Kampanyası,"İş Bankası, Amazon pazar yeri satıcılarının hak ediş ödemelerini kendi hesaplarına yönlendirmelerine karşılık 37.000 TL'ye varan MaxiPuan ve 200 işlem için ücretsiz havale/EFT sunuyor. Kampanya 11 ay boyunca devam edecek ve ticari kredi kartı, ticari ek hesap ile 2 adet otomatik fatura talimatı şartını taşıyor.","Bu, e-ticaret satıcılarının tahsilat akışını çekmeye yönelik hedefli bir mevduat ve nakit yönetimi kampanyasıdır; Akbank'ın aynı segmentte benzer bir teklif sunup sunmadığını kontrol etmek gerekir.","İş Bankası, e-ticaret ekosistemindeki satıcı tabanını doğrudan hedef alarak mevduat ve işlem hacmi kazanmaya çalışıyor. Bu, KOBİ nakit yönetimi ve tahsilat ürünlerinde rakip konumlandırmasını güçlendiriyor.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/amazon-pazar-yeri-hak-edis-odemesi-kampanyasi,https://www.isbank.com.tr/duyurular,Beklemede,,,
RIRQ-579585e5794c,SUM-1432bbc1a263,RI-e5e9c4bc4bfb,DOC-REG-006-20260610124523,REG-006,İş Bankası,Organize Sanayi Bölgelerinde (OSB) Faaliyet Gösteren KOBİ’lerimize Yönelik Finansman Paketi | Türkiye İş Bankası A.Ş.,13 Haziran 2024,KOBİ Kredileri,İş Bankası OSB'lerdeki KOBİ'lere yeşil ve dijital dönüşüm kredileri sunuyor,"İş Bankası, OSBÜK ile imzaladığı protokol kapsamında Organize Sanayi Bölgelerinde faaliyet gösteren KOBİ'lere yeşil dönüşüm, dijital dönüşüm, ihracat ve teminat mektubu hizmetlerini avantajlı faiz oranlarıyla sunmaktadır. Kampanya ayrıca kredi kullanan müşterilere havale masrafsızlığı ve ticari kredi kartı avantajları da içermektedir.","Bu, İş Bankası'nın OSB'li KOBİ segmentinde kredi ve nakit yönetimi hizmetlerini paketleyerek pazar payını güçlendirme girişimidir.","OSB'ler yüksek konsantrasyonlu KOBİ yoğunluğu nedeniyle stratejik bir segment olup, İş Bankası bu alanı kurumsal protokol ile kilitlemektedir. Akbank'ın aynı segmentte benzer bir paket sunmaması durumunda, bu bölgedeki KOBİ'lerin finansman ihtiyaçlarında İş Bankası tercih edilme olasılığı artacaktır.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/osb-faaliyet-gosteren-kobilerimize-yonelik-finansman-paketi,https://www.isbank.com.tr/duyurular,Beklemede,,,
RIRQ-86d6c8c7b4da,SUM-10f731d74e1b,RI-51b144c5818d,DOC-REG-006-20260610124523,REG-006,İş Bankası,Paygo SP630 ECR Mobil ÖKC ve Hugin Tiger T300 Mobil ÖKC Kampanyası | Türkiye İş Bankası A.Ş.,,Ödemeler ve POS,İş Bankası mobil ÖKC cihazlarında 9 taksit kampanyası başlattı,"İş Bankası, Ingenico MOVE/5000 F, Paygo SP630 ECR 4G ve Hugin Tiger T300 4G mobil ÖKC cihazlarına vade farksız 9 taksit imkanı sunuyor. Kampanya İş Bankası kredi kartı ile satın alımlarda geçerli olup cihazlar banka şubeleri aracılığıyla satılmaktadır.","Bu, İş Bankası'nın KOBİ müşterilerine POS cihaz satışını finansmanlaştırarak tahsilat hizmetlerine bağlama stratejisidir.","Rakip, KOBİ müşterilerinin cihaz yatırım maliyetini düşürerek kendi POS ağını genişletmeyi hedeflemektedir. Akbank'ın benzer finansman seçenekleri sunup sunmadığı ve POS cihaz satış stratejisinin gücü kontrol edilmelidir.",Orta,BD Konuşma Notlarına Ekle,Yüksek,https://www.isbank.com.tr/kampanyalar/hugin-paygo-mobil-okc-kampanyasi,https://www.isbank.com.tr/duyurular,Beklemede,,,
RIRQ-2858627324e5,SUM-19f01482f6c8,RI-1dba83a67153,DOC-REG-006-20260610124523,REG-006,İş Bankası,Suya Değer Kredisi Kampanyası | Türkiye İş Bankası A.Ş.,,KOBİ Kredileri,İş Bankası Suya Değer Kredisi: Atık Su Arıtma Yatırımlarına %70 Finansman,"İş Bankası, atık su arıtma ve geri kazanım tesisi yatırımı yapan KOBİ'lere özel kredi kampanyası başlatmıştır. Kampanya, çevresel sorumluluk teması altında üretim sektörü KOBİ'lerine yönelik finansman desteği sunmaktadır.","Bu, İş Bankası'nın KOBİ kredi portföyünü sektörel ve çevresel temalar etrafında segmente etme stratejisini göstermektedir; Akbank için doğrudan ürün aksiyonu gerektirmez ancak KOBİ kredi pazarında tema-tabanlı kampanya eğilimini işaret eder.","Rakip, üretim sektörü KOBİ'leri arasında çevresel uyum finansmanı konusunda marka konumlandırması yapmaktadır. Bu, KOBİ kredi pazarında niş segmentasyon ve ESG-bağlantılı finansman trendinin bir göstergesidir.",Düşük,İzle,Yüksek,https://www.isbank.com.tr/kampanyalar/suya-deger-kredisi,https://www.isbank.com.tr/duyurular,Beklemede,,,
RIRQ-945320ac0e4b,SUM-b457b71c5421,RI-7d2f863550f3,DOC-REG-006-20260610124523,REG-006,İş Bankası,Maximum’un 25.Yılına Özel Ticari Kredi Kartlara Seçili Sektörlerde Taksit Fırsatı! | Türkiye İş Bankası A.Ş.,30 Haziran 2026,Kampanyalar,İş Bankası Maximum Kartlarında Seçili Sektörlerde 2 Ay Faizsiz Taksit,"İş Bankası, Maximum ticari kredi kartlarında Haziran 2026'da gıda, elektronik, giyim, mobilya, yapı-inşaat ve araç bakım sektörlerinde 100.000 TL üzeri alışverişleri İşCep uygulamasından faizsiz 2 ay taksitle taksitlendirme imkanı sunuyor. Kampanya, ticari kartlı işlemlerde müşteri tutma ve işlem hacmi artırma amaçlı sınırlı bir promosyon niteliğindedir.","Bu, İş Bankası'nın ticari kredi kartı portföyünü belirli sektörlerde aktifleştirmeye yönelik mevsimsel bir kampanya olup, Akbank KOBİ ürün stratejisine doğrudan tehdit oluşturmamakta ancak ticari kart kullanım oranlarında rekabet sinyali vermektedir.","Kampanya, KOBİ müşterilerin ticari kartlarla peşin alışveriş yapma davranışını teşvik ederek işlem hacmi ve kart kullanım sıklığını artırmayı hedeflemektedir. Akbank'ın ticari kart portföyü ve sonradan taksitlendirme ürünleri açısından karşılaştırmalı konumlandırma gerekebilir.",Düşük,İzle,Yüksek,https://www.isbank.com.tr/kampanyalar/maximumun-25-yilina-ozel-ticari-kredi-kartlara-secili-sektorlerde-taksit-firsati,https://www.isbank.com.tr/duyurular,Beklemede,,,
