institution_id,product_name,product_type,target_segment,description,deposit_relevance,pricing_or_rate_notes,digital_availability,campaign_notes,last_updated
garanti_bbva,SME Time Deposit Campaign,Term Deposit,Established SME,Digital time deposit with campaign-led rate communication for business customers.,Yüksek,Rate varies by tenor and relationship depth.,İnternet ve mobil bankacılık,Kampanyalar can be linked to POS settlement balances.,2026-06-09
is_bankasi,Commercial Deposit Account,Demand and Term Deposit,Mass SME,Core commercial account supported by broad Şube ve dijital coverage.,Yüksek,Relationship pricing; Halka Açık rates may be Kısmi.,Şube ve dijital,Strong for operating balance capture.,2026-06-09
akbank,Business Banking Deposit,Term Deposit,Digital SME,KOBİ Mevduat positioned alongside Nakit Yönetimi and commercial cards.,Yüksek,Selective promotional pricing by maturity.,Mobile and internet banking,Potential to bundle with merchant acquiring.,2026-06-09
yapi_kredi,SME Deposit Solutions,Term Deposit,Merchant SME,Deposit proposition connected to merchant banking and receivables akışı.,Yüksek,Relationship-led pricing.,Dijital bankacılık,Useful gateway from POS settlements to deposit balances.,2026-06-09
qnb_finansbank,SME Savings Account,Demand Account,Small Business,Operational account for deposits and daily Nakit Yönetimi.,Orta,Standard tariff-led pricing.,Dijital bankacılık,Opportunity to add clearer merchant settlement hooks.,2026-06-09
denizbank,Sector SME Deposit,Term Deposit,Sector SME,Sector-specific deposit and cash cycle support.,Orta,"Campaign based, tenor dependent.",Şube ve dijital,Good for agriculture and trade segments.,2026-06-09
teb,SME Advisory Deposit,Demand and Term Deposit,Advisory-led SME,Mevduat Ürünleri supported by SME advisory relationship.,Orta,Relationship pricing not always transparent.,Şube ve dijital,Advisory narrative can support retention.,2026-06-09
vakifbank,Halka Açık SME Deposit,Term Deposit,Mass SME,Halka Açık-bank scale deposit offer for SMEs and Halka Açık-linked merchants.,Yüksek,Campaign and relationship pricing.,Dijital bankacılık,Strong scale but digital proposition less differentiated.,2026-06-09
ziraat,SME Deposit Account,Demand and Term Deposit,Mass and agriculture SME,Large-scale operating and term deposit proposition.,Yüksek,Relationship-led pricing.,Şube ve dijital,Very strong reach for deposit acquisition.,2026-06-09
halkbank,Entrepreneur Deposit Account,Demand Account,Small Merchant,SME-oriented deposits linked to credit and Halka Açık support programs.,Yüksek,Standard account fees plus relationship terms.,Şube ve dijital,Yüksek BD Kullanılabilirliği through SME specialization.,2026-06-09
kuveyt_turk,Participation SME Account,Participation Account,Faith-sensitive SME,Participation account structure for SME liquidity.,Orta,Profit share basis rather than interest rate.,Dijital bankacılık,Differentiated proposition for participation segment.,2026-06-09
stripe,Stripe Treasury Balance,Embedded Account,Platform SME,Embedded balance account distributed through platforms in selected markets.,Orta,Platform-specific economics.,API and Panel,Global benchmark for embedding deposits in workakışı.,2026-06-09
square,Square Banking,Embedded Account,Micro and small merchant,"Merchant balance, savings and banking tools connected to payment akışları.",Yüksek,Simple stated rates in eligible markets.,App-first,Best-in-class example of payment-led deposits.,2026-06-09
revolut_business,Business Account,Business Current Account,Digital SME,Multi-currency business account with cards and payment tools.,Yüksek,Plan-based pricing with transparent FX fees.,App and web,Strong digital account acquisition benchmark.,2026-06-09
wise_business,Wise Business Account,Multi-currency Account,Cross-border SME,Transparent FX and international balance proposition.,Yüksek,Transparent fee schedule.,Web and app,Strong Fiyatlama Şeffaflığı angle.,2026-06-09
shopify_payments,Shopify Balance,Embedded Balance,E-commerce merchant,Merchant balance account embedded in commerce admin workakışı.,Yüksek,Bundled with merchant platform economics.,Platform paneli,Shows how commerce platforms can capture operating balances.,2026-06-09
