source_id,tier,institution_id,institution_name,source_name,source_type,url,collection_method,update_frequency,reliability_level,strategic_themes,active,notes,extraction_mode,coverage_scope,coverage_priority,sme_relevance,source_validation_status,collector_capability,mvp_active,exclusion_reason,last_validated_at
REG-001,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA İşim İçin / KOBİ bankacılığı,Resmi KOBİ Sayfası,https://www.garantibbva.com.tr/isim-icin,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri; Dijital KOBİ Yolculuğu,True,Official KOBİ bankacılığı page for controlled Tier 1 İzleing.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-002,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kartlar & POS,Resmi POS Sayfası,https://www.garantibbva.com.tr/isim-icin/kartlar-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; KOBİ Mevduat,True,Resmi POS Sayfası for merchant acquiring signals.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-003,Tier 1,garanti_bbva,Garanti BBVA,Garanti BBVA Kurumsal communication / press releases,Resmi Basın Bülteni Sayfası,https://www.garantibbva.com.tr/kurumsal-iletisim,static_scrape,Weekly,Yüksek,Kampanyalar; iş birlikleri; KOBİ Mevduat; Ödemeler ve POS,True,Official communication page; validate relevant links manually when needed.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-004,Tier 1,is_bankasi,İş Bankası,İş Bankası İş Ticari,Resmi KOBİ Sayfası,https://www.isbank.com.tr/is-ticari,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri; Dijital KOBİ Yolculuğu,True,Official commercial and KOBİ bankacılığı page.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-005,Tier 1,is_bankasi,İş Bankası,İş Bankası Sanal POS,Resmi POS Sayfası,https://www.isbank.com.tr/is-ticari/sanal-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Gömülü Finans,True,Official Sanal POS page.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-006,Tier 1,is_bankasi,İş Bankası,İş Bankası Duyurular,Resmi Basın Bülteni Sayfası,https://www.isbank.com.tr/duyurular,static_scrape,Weekly,Yüksek,Kampanyalar; Regülasyon; iş birlikleri,True,Official announcements page.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-007,Tier 1,akbank,Akbank,Akbank Kurumsal,Resmi KOBİ Sayfası,https://www.akbank.com/kurumsal,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri; Dijital KOBİ Yolculuğu,True,Official Kurumsal banking page.,benchmark_fact,Kapsam Dışı,Internal,Yüksek,Not checked,static_scrape,False,Akbank internal benchmark target; not a competitor source for MVP expansion.,
REG-008,Tier 1,akbank,Akbank,Akbank Cebe POS,Resmi POS Sayfası,https://www.akbank.com/kurumsal/uye-isyeri-pos/pos-cozumleri/akbank-cebe-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Dijital KOBİ Yolculuğu,True,Official Mobil POS page.,benchmark_fact,Kapsam Dışı,Internal,Yüksek,Not checked,static_scrape,False,Akbank internal benchmark target; not a competitor source for MVP expansion.,
REG-009,Tier 1,akbank,Akbank,Akbank Dövizli POS,Resmi POS Sayfası,https://www.akbank.com/kurumsal/uye-isyeri-pos/diger-pos-cozumleri/dovizli-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; KOBİ Mevduat,True,Official FX POS page.,benchmark_fact,Kapsam Dışı,Internal,Yüksek,Not checked,static_scrape,False,Akbank internal benchmark target; not a competitor source for MVP expansion.,
REG-010,Tier 1,yapi_kredi,Yapı Kredi,Yapı Kredi KOBİ,Resmi KOBİ Sayfası,https://www.yapikredi.com.tr/kobi/,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri; Dijital KOBİ Yolculuğu,True,Resmi KOBİ Sayfası.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
