discovered_from,listing_title,listing_date,item_url,final_url,canonical_url,article_title,publication_date,date_source,date_confidence,body_chars,named_partners,named_products,network_signal_type,network_layer,deployment_scope,content_role,strategic_priority_score,item_level_verified,publication_date_verified,body_verified,recent_item_eligible,claude_eligible,duplicate_status,rejection_reason,checked_at,taxonomy_status,taxonomy_confidence,taxonomy_method,dataset_role,production_recent_eligible
Mastercard Legacy Newsroom Landing; Mastercard Legacy Newsroom Press,OnePay and Synchrony to launch new industry-leading credit card program with Walmart; credit card to be powered by Mastercard and set to go live this fall,2025-06-09,https://newsroom.mastercard.com/news/press/2025/june/onepay-and-synchrony-to-launch-new-industry-leading-credit-card-program-with-walmart-credit-card-to-be-powered-by-mastercard-and-set-to-go-live-this-fall/,https://newsroom.mastercard.com/news/press/2025/june/onepay-and-synchrony-to-launch-new-industry-leading-credit-card-program-with-walmart-credit-card-to-be-powered-by-mastercard-and-set-to-go-live-this-fall/,https://www.mastercard.com/news/press/2025/june/onepay-and-synchrony-to-launch-new-industry-leading-credit-card-program-with-walmart-credit-card-to-be-powered-by-mastercard-and-set-to-go-live-this-fall/,OnePay and Synchrony to launch new industry-leading credit card program with Walmart; credit card to be powered by Mastercard and set to go live this fall,2025-06-09,publication_date,Yüksek,7495,OnePay; Synchrony,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_collapsed_legacy_modern,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Landing; Mastercard Legacy Newsroom Press,Mastercard and PayPal to partner on Mastercard One Credential to supercharge choice at checkout,2025-06-04,https://newsroom.mastercard.com/news/press/2025/june/mastercard-and-paypal-to-partner-on-mastercard-one-credential-to-supercharge-choice-at-checkout/,https://newsroom.mastercard.com/news/press/2025/june/mastercard-and-paypal-to-partner-on-mastercard-one-credential-to-supercharge-choice-at-checkout/,https://www.mastercard.com/news/press/2025/june/mastercard-and-paypal-to-partner-on-mastercard-one-credential-to-supercharge-choice-at-checkout/,Mastercard and PayPal to partner on Mastercard One Credential to supercharge choice at checkout,2025-06-04,publication_date,Yüksek,3814,PayPal,One Credential,Aktarılabilir Mastercard Kabiliyeti,Tokenizasyon,Global,Tarihsel Bağlam,0,True,True,True,False,False,canonical_collapsed_legacy_modern,pre_cutoff,2026-06-29T07:42:22+00:00,Provisional,Orta,deterministic_high_precision,historical_resolution,False
Mastercard Legacy Newsroom Landing; Mastercard Legacy Newsroom Press,"One year in, Mastercard’s checkout transformation gains ground across Europe",2025-06-03,https://newsroom.mastercard.com/news/press/2025/june/one-year-in-mastercard-s-checkout-transformation-gains-ground-across-europe-1/,https://newsroom.mastercard.com/news/press/2025/june/one-year-in-mastercard-s-checkout-transformation-gains-ground-across-europe-1/,https://www.mastercard.com/news/press/2025/june/one-year-in-mastercard-s-checkout-transformation-gains-ground-across-europe-1/,"One year in, Mastercard’s checkout transformation gains ground across Europe",2025-06-03,publication_date,Yüksek,4418,,Click to Pay,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_collapsed_legacy_modern,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,"Mastercard unveils Small Business Navigator to empower U.S. entrepreneurs with smarter, safer growth",2025-05-29,https://newsroom.mastercard.com/news/press/2025/may/mastercard-unveils-small-business-navigator-to-empower-u-s-entrepreneurs-with-smarter-safer-growth/,https://newsroom.mastercard.com/news/press/2025/may/mastercard-unveils-small-business-navigator-to-empower-u-s-entrepreneurs-with-smarter-safer-growth/,https://www.mastercard.com/news/press/2025/may/mastercard-unveils-small-business-navigator-to-empower-u-s-entrepreneurs-with-smarter-safer-growth/,"Mastercard unveils Small Business Navigator to empower U.S. entrepreneurs with smarter, safer growth",2025-05-29,publication_date,Yüksek,5237,,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,"Mastercard introduces Touch Card by Mastercard™ in Canada, a tactile notch feature designed to help empower the sight loss community",2025-05-28,https://newsroom.mastercard.com/news/press/2025/may/mastercard-introduces-touch-card-by-mastercard-in-canada-a-tactile-notch-feature-designed-to-help-empower-the-sight-loss-community/,https://newsroom.mastercard.com/news/press/2025/may/mastercard-introduces-touch-card-by-mastercard-in-canada-a-tactile-notch-feature-designed-to-help-empower-the-sight-loss-community/,https://www.mastercard.com/news/press/2025/may/mastercard-introduces-touch-card-by-mastercard-in-canada-a-tactile-notch-feature-designed-to-help-empower-the-sight-loss-community/,"Mastercard introduces Touch Card by Mastercard™ in Canada, a tactile notch feature designed to help empower the sight loss community",2025-05-28,publication_date,Yüksek,3945,,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,Mastercard and MoonPay team up to mainstream stablecoin payments,2025-05-15,https://newsroom.mastercard.com/news/press/2025/may/mastercard-and-moonpay-team-up-to-mainstream-stablecoin-payments/,https://newsroom.mastercard.com/news/press/2025/may/mastercard-and-moonpay-team-up-to-mainstream-stablecoin-payments/,https://www.mastercard.com/news/press/2025/may/mastercard-and-moonpay-team-up-to-mainstream-stablecoin-payments/,Mastercard and MoonPay team up to mainstream stablecoin payments,2025-05-15,publication_date,Yüksek,4294,MoonPay,stablecoin,Aktarılabilir Mastercard Kabiliyeti,Dijital Varlıklar / Stablecoin,Global,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Provisional,Orta,deterministic_high_precision,historical_resolution,False
Mastercard Legacy Newsroom Press,Mastercard Economics Institute: What moves us? The motivations behind global travel in 2025,2025-05-12,https://newsroom.mastercard.com/news/press/2025/may/mastercard-economics-institute-what-moves-us-the-motivations-behind-global-travel-in-2025/,https://newsroom.mastercard.com/news/press/2025/may/mastercard-economics-institute-what-moves-us-the-motivations-behind-global-travel-in-2025/,https://www.mastercard.com/news/press/2025/may/mastercard-economics-institute-what-moves-us-the-motivations-behind-global-travel-in-2025/,Mastercard Economics Institute: What moves us? The motivations behind global travel in 2025,2025-05-12,publication_date,Yüksek,6420,,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,Nuvei offers Canadian businesses near instant payouts via Mastercard Move,2025-05-07,https://newsroom.mastercard.com/news/press/2025/may/nuvei-offers-canadian-businesses-near-instant-payouts-via-mastercard-move/,https://newsroom.mastercard.com/news/press/2025/may/nuvei-offers-canadian-businesses-near-instant-payouts-via-mastercard-move/,https://www.mastercard.com/news/press/2025/may/nuvei-offers-canadian-businesses-near-instant-payouts-via-mastercard-move/,Nuvei offers Canadian businesses near instant payouts via Mastercard Move,2025-05-07,publication_date,Yüksek,4197,,Mastercard Move,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,Mastercard Center for Inclusive Growth and Tamkeen partner to launch first Mastercard Strive Initiative in Bahrain and the Middle East,2025-05-04,https://newsroom.mastercard.com/news/press/2025/may/mastercard-center-for-inclusive-growth-and-tamkeen-partner-to-launch-first-mastercard-strive-initiative-in-bahrain-and-the-middle-east/,https://newsroom.mastercard.com/news/press/2025/may/mastercard-center-for-inclusive-growth-and-tamkeen-partner-to-launch-first-mastercard-strive-initiative-in-bahrain-and-the-middle-east/,https://www.mastercard.com/news/press/2025/may/mastercard-center-for-inclusive-growth-and-tamkeen-partner-to-launch-first-mastercard-strive-initiative-in-bahrain-and-the-middle-east/,Mastercard Center for Inclusive Growth and Tamkeen partner to launch first Mastercard Strive Initiative in Bahrain and the Middle East,2025-05-04,publication_date,Yüksek,4919,,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
Mastercard Legacy Newsroom Press,"CIBC launches CIBC Adapta™ Mastercard®, a credit card that automatically adapts to spending behaviour, rewarding cardholders more for everyday purchases",2025-05-01,https://newsroom.mastercard.com/news/press/2025/may/cibc-launches-cibc-adapta-mastercard-a-credit-card-that-automatically-adapts-to-spending-behavior-rewarding-cardholders-more-for-everyday-purchases/,https://newsroom.mastercard.com/news/press/2025/may/cibc-launches-cibc-adapta-mastercard-a-credit-card-that-automatically-adapts-to-spending-behavior-rewarding-cardholders-more-for-everyday-purchases/,https://www.mastercard.com/news/press/2025/may/cibc-launches-cibc-adapta-mastercard-a-credit-card-that-automatically-adapts-to-spending-behavior-rewarding-cardholders-more-for-everyday-purchases/,"CIBC launches CIBC Adapta™ Mastercard®, a credit card that automatically adapts to spending behaviour, rewarding cardholders more for everyday purchases",2025-05-01,publication_date,Yüksek,4240,,,,,,Tarihsel Bağlam,0,True,True,True,False,False,canonical_unique,pre_cutoff,2026-06-29T07:42:22+00:00,Unclassified,Düşük,none,historical_resolution,False
