summary_id,recent_item_id,document_id,source_id,institution_id,institution_name,item_title,item_date,item_url,strategic_theme,product_area,development_type,headline,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,confidence_level,extracted_facts_json,open_questions_json,created_at,llm_model,review_status,raw_llm_response_path,error_message
SUM-edc52619ff55,RI-68c3cca031e7,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Finance Yatırım Bankaları Ödülleri,15 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-yatirim-bankalari-odulleri-2026,Global İyi Uygulama,Diğer,İlgili Gelişme Yok,Garanti BBVA Global Finance Yatırım Bankaları Ödülleri'nde 3 Ödül Kazandı,"Garanti BBVA, Global Finance tarafından verilen Orta ve Doğu Avrupa Yatırım Bankaları Ödülleri'nde En İyi Borçlanma Araçları Bankası, Altyapı Finansmanı ve Türkiye'nin En İyi Yatırım Bankası kategorilerinde ödül aldı. Gelişme, kurumsal yatırım bankacılığı ve büyük ölçekli finansman işlemlerine odaklanmaktadır.",,"Bu gelişme Akbank KOBİ bankacılığı stratejisinin odak alanları ile doğrudan ilişkili değildir. Garanti BBVA'nın ödülü, kurumsal ve yatırım bankacılığı segmentinde (borçlanma araçları, altyapı finansmanı, büyük ölçekli işlemler) performansını yansıtmakta olup, KOBİ mevduat, ödemeler, gömülü finans veya dijital KOBİ yolculuğu gibi Akbank'ın KOBİ stratejisinin temel alanlarını kapsamaz.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, Global Finance tarafından 3 kategoride ödül aldı"", ""Ödüller: En İyi Borçlanma Araçları Bankası, Altyapı Finansmanı Alanında En İyi Banka, Türkiye'nin En İyi Yatırım Bankası"", ""2025 yılında 500 milyon dolar ve 700 milyon dolar Tier-2 ihraçları gerçekleştirildi"", ""Enerji, altyapı ve sanayi sektörlerinde toplam 20 işlemde yaklaşık 890 milyon dolar finansman sağlandı""]","[""Bu ödüllerin Garanti BBVA'nın KOBİ segmentindeki rekabetçi konumuna etkisi nedir?"", ""Yatırım bankacılığı alanındaki başarısı, KOBİ müşteri tabanında marka algısını güçlendiriyor mu?""]",2026-06-10T11:30:47.203595+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-cb9316e1a9c9,RI-fd14e4703f56,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Türkiye 2025 İklim Değişikliği ve Doğa Raporu,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/dunyadaki-27-triple-a-seviyesindeki-sirketten-5i-turkiyeden,Global İyi Uygulama,Diğer,Rapor / Araştırma,Garanti BBVA'nın Sponsorluğunda CDP Türkiye 2025 İklim Değişikliği ve Doğa Raporu Yayınlandı,"Garanti BBVA ana sponsorluğunda CDP tarafından yayınlanan rapor, Türkiye'deki şirketlerin çevresel raporlama performansını değerlendirmektedir. Türkiye'den 45 şirket Küresel A Listesi'nde yer alırken, 5 şirket Triple A seviyesine ulaşmıştır. Rapor, iklim yönetiminin kurumsal sistemlere entegrasyonunun ilerlemesini ancak doğa temelli konularda sınırlı ilerlemeyi göstermektedir.",,"Rapor, Garanti BBVA'nın kurumsal sosyal sorumluluk ve sürdürülebilirlik konusundaki konumlandırmasını güçlendirmektedir. Ancak Akbank KOBİ bankacılığı stratejisinin temel odak alanları (mevduat, ödemeler, krediler, dijital yolculuk) açısından doğrudan bir ürün, hizmet veya operasyonel gelişme içermemektedir. Rapor, makro düzeyde kurumsal yönetim ve ESG raporlaması konularına odaklanmakta olup, KOBİ segmentine özgü bir stratejik çıkarım taşımamaktadır.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA, CDP Türkiye 2025 İklim Değişikliği ve Doğa Raporu'nun ana sponsoruydu"", ""Türkiye'den 45 şirket Küresel A Listesi'nde yer aldı"", ""Türkiye'den 5 şirket Triple A seviyesine (iklim, su ve ormansızlaşmada liderlik) ulaştı"", ""Türkiye'deki şirketler iklim değişikliğinde %82, su güvenliğinde %87, ormansızlaşmada %70 liderlik seviyesinde yer aldı"", ""Lider şirketler, çevresel yatırımlarında 1 dolar başına 4 dolar finansal değer yaratma potansiyeli raporladı"", ""Rapor, iklim konularının kurumsal sistemlere entegrasyonunun ilerlediğini ancak doğa temelli konularda sınırlı ilerleme olduğunu gösterdi""]","[""Akbank'ın KOBİ müşterilerine yönelik ESG/sürdürülebilirlik raporlama desteği veya danışmanlık hizmetleri var mı?"", ""KOBİ segmentinde çevresel raporlama ve uyum konusunda bir strateji veya ürün geliştirme planı bulunuyor mu?"", ""Rapordaki bulgular (finansal değer yaratma, risk yönetimi verimliliği) KOBİ kredileri veya fiyatlandırma stratejisine yansıtılabilir mi?""]",2026-06-10T11:30:57.112211+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-2734e2ed7210,RI-3113621a8037,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,BBVA Research Türkiye Ekonomisi Tahminlerinde Birinci,8 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/bbva-research-turkiye-ekonomisi-tahminlerinde-birinci,Global İyi Uygulama,Diğer,İlgili Gelişme Yok,Garanti BBVA Ekonomik Araştırmalar Ekibi FocusEconomics Tahmin Ödülü Aldı,"Garanti BBVA'nın Ekonomik Araştırmalar ekibi, FocusEconomics tarafından düzenlenen 2026 Analist Tahmin Ödülleri'nde Türkiye Genel Görünüm kategorisinde birinci, Türkiye GSYH kategorisinde ikinci olmuştur. Bu ödül, makroekonomik tahmin performansına ilişkin bir tanınırlık göstergesidir.",,"Gelişme, Garanti BBVA'nın kurumsal itibarını ve ekonomik araştırma kapasitesini vurgulayan bir basın duyurusudur. Ancak KOBİ bankacılığı stratejisinin temel odak alanları (mevduat, ödemeler, krediler, dijital yolculuk, nakit yönetimi) ile doğrudan ilişkili değildir. Ekonomik tahmin yeteneği genel kurumsal güç göstergesi olsa da, KOBİ müşteri deneyimi, ürün geliştirme veya rekabetçi konumlandırma açısından operasyonel etki yaratmamaktadır.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA BBVA Research ekibi FocusEconomics Analyst Forecast Awards 2026'da ödül aldı"", ""Türkiye Genel Görünüm kategorisinde birinci sırada yer aldı"", ""Türkiye GSYH kategorisinde ikinci sırada yer aldı"", ""Ödül, 22 aylık değerlendirme döneminde tahmin doğruluğuna dayalı olarak verildi"", ""Garanti BBVA Baş Ekonomisti Seda Güler Mert tarafından açıklama yapılmıştır""]","[""Bu ekonomik araştırma kapasitesi KOBİ müşterilerine yönelik ürün veya hizmet geliştirmede nasıl kullanılmaktadır?"", ""Ekonomik tahminlerin KOBİ kredileri, mevduat stratejisi veya kampanya tasarımında pratik uygulaması nedir?""]",2026-06-10T11:32:59.399176+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-481f963c9f14,RI-6ffc8e895a2e,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Salt 15 Yıldır Kültür Mirasını Geleceğe Taşıyor,22 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/salt-15-yildir-kultur-mirasini-gelecege-tasiyor,Ekosistem İş Birlikleri,Diğer,İlgili Gelişme Yok,Garanti BBVA'nın Salt Kültür Kurumu 15. Yıl Dönümü,"Garanti BBVA tarafından 2011'de kurulan Salt kültür ve araştırma kurumu, 15. yılını kutlamakta ve 5 milyon ziyaretçiye ulaştığını duyurmaktadır. Kurum, sanat, mimarlık ve tasarım alanlarında araştırma fonları ve 2025'te başlatılan Ekonomi Tarihi Fonu aracılığıyla akademik projeleri desteklemektedir.",,"Garanti BBVA'nın kurumsal sosyal sorumluluk ve kültür yatırımı stratejisini yansıtan bu gelişme, Akbank KOBİ bankacılığı odak alanlarından hiçbiriyle doğrudan ilişkili değildir. KOBİ mevduat, gömülü finans, ödemeler, krediler, nakit yönetimi veya dijital KOBİ yolculuğu açısından operasyonel veya stratejik bir etki taşımamaktadır.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Salt, Garanti BBVA tarafından 2011 yılında kurulmuştur"", ""15 yılda yaklaşık 5 milyon ziyaretçiye ulaşılmıştır"", ""2 milyonu aşkın belge ve kaynaktan oluşan arşiv koleksiyonları kamusal erişime açılmıştır"", ""Salt Araştırma Fonları 2013'ten beri 80'in üzerinde projeyi desteklemiştir"", ""2025'te Garanti BBVA Ekonomi Tarihi Fonu hayata geçirilmiştir"", ""Tüm mekânlara giriş, programlara katılım ve arşiv kullanımı ücretsizdir""]","[""Garanti BBVA'nın KOBİ segmentine yönelik kültür ve sanat sponsorluğu stratejisinin detayları nelerdir?"", ""Salt platformunun KOBİ işletmecileri için herhangi bir eğitim veya ağ oluşturma fırsatı sunup sunmadığı""]",2026-06-10T11:57:22.430076+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-9732d5a61b9b,RI-a2501e99ef1b,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA Leasing Sürdürülebilirlik Çerçeve Mutabakatı,01 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati,Global İyi Uygulama,KOBİ Kredileri,Pazar Sinyali,Garanti BBVA Leasing Sürdürülebilirlikle Bağlantılı Kredi ve Faiz Swap İşlemleri Gerçekleştirdi,"Garanti BBVA, Garanti BBVA Leasing ile imzalanan sürdürülebilirlik çerçeve mutabakatı kapsamında 2 milyar TL tutarında sürdürülebilirlikle bağlantılı IRS işlemi ve 5 milyon euro tutarında sürdürülebilirlikle bağlantılı kredi işlemi gerçekleştirmiştir. İşlemler, sürdürülebilirlik performans kriterlerinin finansman ve risk yönetimi süreçlerine entegre edilmesini sağlamıştır. Bu, Garanti BBVA'nın bir iştirakiyle gerçekleştirdiği ilk sürdürülebilirlikle bağlantılı kredi ve IRS işlemidir.",,"Akbank KOBİ için, rekabet ortamında sürdürülebilir finansman uygulamalarının yaygınlaşması önemli bir pazar sinyalidir. Garanti BBVA'nın KOBİ ve orta ölçekli işletmelere yönelik sürdürülebilirlikle bağlantılı kredi ürünleri geliştirmesi, bu segmentte benzer yenilikçi çözümlerin talep göreceğini göstermektedir. KOBİ kredileri portfölyümüzde sürdürülebilirlik kriterlerinin entegrasyonu, müşteri beklentileri ve pazar trendleriyle uyumlu stratejik bir fırsattır.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA, Garanti BBVA Leasing ile sürdürülebilirlik çerçeve mutabakatı imzalamıştır"", ""2 milyar TL tutarında sürdürülebilirlikle bağlantılı IRS (faiz swap) işlemi gerçekleştirilmiştir"", ""5 milyon euro tutarında sürdürülebilirlikle bağlantılı kredi (SLL) işlemi gerçekleştirilmiştir"", ""İşlemler, Garanti BBVA Leasing'in ilk sürdürülebilirlikle bağlantılı kredi ve IRS işlemidir"", ""İşlemler, Garanti BBVA'nın bir iştirakiyle gerçekleştirdiği ilk sürdürülebilirlikle bağlantılı kredi ve IRS işlemidir"", ""Sürdürülebilirlik performans kriterleri finansman ve risk yönetimi süreçlerine entegre edilmiştir""]","[""Garanti BBVA Leasing müşteri portföyünde KOBİ segmentinin ağırlığı nedir?"", ""Bu tür sürdürülebilirlikle bağlantılı ürünlere KOBİ müşterilerinin talep düzeyi ne kadar yüksektir?"", ""Akbank'ın KOBİ kredileri portföyüne benzer sürdürülebilirlik çerçevesi uygulanması için hazırlık düzeyi nedir?""]",2026-06-10T11:57:31.118621+00:00,claude-haiku-4-5-20251001,Onaylandı,,
SUM-605aaafea7e6,RI-4f105729f8a7,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Kurumsal Hafızada 80 Yıllık Yolculuk,2 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/kurumsal-hafizada-80-yillik-yolculuk,Kampanyalar,Diğer,İlgili Gelişme Yok,Garanti BBVA'nın 80. Yıl Dönümü Kurumsal Hafıza Sergisi,"Garanti BBVA, 80. yıl dönümü kapsamında kurumsal tarihini anlatan ""80 Yıldır Yarınlardayız"" sergisini Salt Galata'da açmıştır. Sergi, dijital deneyim alanı, vizyon buluşmaları ve hatıra ormanı gibi etkinliklerle kurumsal kültürü ve insan hikâyelerini paylaşmayı amaçlamaktadır.",,"Gelişme, Garanti BBVA'nın kurumsal kimlik ve marka yönetimi çalışmasıdır. KOBİ mevduat, ödemeler, gömülü finans, dijital KOBİ yolculuğu, KOBİ kredileri veya nakit yönetimi gibi Akbank KOBİ stratejisinin odak alanlarıyla ilgili yeni ürün, hizmet, kampanya veya iş birliği içermemektedir.",Düşük,Önceliklendirme,Düşük,Yüksek,"[""Garanti BBVA 1946 yılında Ankara'da kurulmuştur"", ""Bankanın 23 bin çalışanı bulunmaktadır"", ""Salt ile yapılan arşiv çalışmasında 36 bini aşkın fiziksel materyal dijitalleştirilmiştir"", ""Sergi 3 Haziran - 30 Eylül 2026 tarihlerinde Salt Galata'da açık olacaktır"", ""80. yıl kapsamında vizyon buluşmaları, çalışan etkinlikleri ve 80 bin fidanlık hatıra ormanı planlanmaktadır""]","[""Bu kurumsal hafıza ve marka çalışmasının KOBİ müşteri deneyimi veya KOBİ ürün stratejisine yönelik bir bileşeni var mı?"", ""Garanti BBVA'nın dijital deneyim alanı veya arşiv çalışması, KOBİ segmentine yönelik yeni bir dijital hizmet veya platform geliştirmesine yol açacak mı?""]",2026-06-10T11:57:39.745120+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-b3b807ac4e09,RI-81e0090ecdd3,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Summit of Women 2026,8 Haziran 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026,Global İyi Uygulama,KOBİ Kredileri,Yönetim Açıklaması,"Garanti BBVA, Kadın Girişimciliğine Yönelik 20 Yıllık Destek Modelini Global Summit of Women'da Paylaştı","Garanti BBVA, Global Summit of Women 2026'da kadın girişimciliğine yönelik 20 yıllık deneyimini ve KOBİ bankacılığı yaklaşımını uluslararası platformda sunmuştur. Son 5 yılda kadın girişimcilere 350 milyar TL finansman sağlayan banka, finansman, eğitim, cesaretlendirme ve pazara erişim olmak üzere dört temel alanda destek modelini açıklamıştır. Techstars iş birliği ve Startup Weekend Women gibi platformlarla kadın girişimcileri uluslararası ağlarla buluşturma stratejisini vurgulamıştır.",,"Garanti BBVA'nın KOBİ kredileri alanında geliştirdiği uzun soluklu, çok boyutlu destek modeli (finansman + eğitim + ağ geliştirme) global iyi uygulama olarak kabul görmektedir. Özellikle kadın girişimciler gibi spesifik segmentlere yönelik bütünleşik hizmet yaklaşımı, Akbank'ın KOBİ stratejisinde benzer ekosistem odaklı modeller geliştirme fırsatını göstermektedir. Uluslararası iş birliklerinin (IFC, Birleşmiş Milletler) ve startup platformlarının (Techstars) kullanılması, KOBİ segmentinde rekabetçi farklılaşma aracı olarak önem taşımaktadır.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA, Global Summit of Women 2026'da ana destekçi olarak yer almıştır"", ""Son 5 yılda kadın girişimcilere 350 milyar TL finansman sağlanmıştır"", ""Destek modeli dört temel alandan oluşmaktadır: finansman, eğitim, cesaretlendirme, pazara erişim"", ""Techstars iş birliği ve Startup Weekend Women platformları kullanılmaktadır"", ""Garanti BBVA destekli kadın girişimciler (Nebyan Doğal, Mol-E) uluslararası platformlarda deneyimlerini paylaşmıştır"", ""Model, IFC ve Birleşmiş Milletler Kadının Statüsü Komisyonu gibi uluslararası kuruluşlarla paylaşılmıştır""]","[""Garanti BBVA'nın kadın girişimciler için sağladığı 350 milyar TL finansmanın KOBİ kredileri içindeki oranı nedir?"", ""Techstars iş birliğinin kapsamı ve Akbank için uyarlanabilirliği nedir?"", ""Eğitim ve pazara erişim desteğinin operasyonel detayları ve maliyeti nedir?"", ""Bu modelin diğer KOBİ segmentlerine (örneğin sektör bazlı) uyarlanması planlanmakta mıdır?""]",2026-06-10T11:57:49.708982+00:00,claude-haiku-4-5-20251001,Onaylandı,,
SUM-219fbaf5d607,RI-098243c77e94,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Garanti BBVA TOBFED İş Birliği,22 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-tobfed-is-birligi,Ekosistem İş Birlikleri,Ekosistem İş Birlikleri,İş Birliği,"Garanti BBVA, TOBFED ile otomotiv satış sonrası hizmetler ekosisteminde anında alışveriş kredisi iş birliğine imza attı","Garanti BBVA, Türkiye Araç Satış Sonrası Hizmetler Federasyonu (TOBFED) ile stratejik iş birliği yaparak, anlaşmalı Yetkili Uygulama Merkezleri ve sektörel işletmelerde müşterilere anında alışveriş kredisi sunmaya başladı. İş birliği, müşterilerin şubeye gitmeden hızlı ve dijital süreçlerle finansmana erişimini sağlarken, işletmelerin satış süreçleri ve nakit akışlarını desteklemektedir. Bu model, sektörel ekosistem ortakları aracılığıyla gömülü finans ve KOBİ kredisi dağıtımının önemli bir örneğini temsil etmektedir.",,"Garanti BBVA'nın TOBFED iş birliği, sektörel ekosistem ortakları üzerinden gömülü finans ve KOBİ kredisi dağıtımı stratejisinin başarılı bir uygulamasıdır. Otomotiv satış sonrası hizmetler sektöründeki KOBİ işletmelere doğrudan finansman erişimi sağlayarak, müşteri deneyimini iyileştirirken işletmelerin nakit akışını desteklemektedir. Akbank için, benzer sektörel ekosistem ortaklıkları geliştirme ve gömülü finans çözümleri sunma açısından önemli bir rekabet sinyalidir.",Orta,İzle,Orta,Yüksek,"[""Garanti BBVA ve TOBFED arasında resmi iş birliği anlaşması imzalanmıştır (22 Mayıs 2026)"", ""İş birliği kapsamında TOBFED Yetkili Uygulama Merkezleri ve sektörel derneklere üye işletmelerde anında alışveriş kredisi sunulmaktadır"", ""Müşteriler şubeye gitmeden dijital ve hızlı süreçlerle kredi alabilmektedir"", ""İş birliği, işletmelerin satış süreçleri ve nakit akışlarını desteklemeyi hedeflemektedir"", ""Garanti BBVA Tüketici Finansmanı Direktörü Koray Öztopçu ve TOBFED Genel Başkanı Serkan Bakırtaş tarafından açıklanmıştır""]","[""Akbank'ın otomotiv satış sonrası hizmetler sektöründe benzer ekosistem iş birlikleri yapma planları nelerdir?"", ""Garanti BBVA'nın bu iş birliğinden elde ettiği müşteri sayısı ve kredi hacmi nedir?"", ""TOBFED üyesi işletmelerin finansman talebinin büyüklüğü ve büyüme potansiyeli nedir?"", ""Akbank'ın gömülü finans stratejisinde sektörel ekosistem ortaklıkları ne ölçüde yer almaktadır?""]",2026-06-10T11:58:11.695219+00:00,claude-haiku-4-5-20251001,Onaylandı,,
SUM-79467bb4ae54,RI-0f5cfdbaa310,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Ödeme İste API ile Tahsilatta Yeni Dönem,21 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/odeme-iste-api-ile-tahsilatta-yeni-donem,Ödemeler ve POS,Ödemeler ve POS,Ürün Lansmanı,"Garanti BBVA, BKM entegrasyonlu Ödeme İste API ile tahsilat dijitalleşmesini hızlandırıyor","Garanti BBVA, firmalar için kendi sistemlerine entegre edilebilen Ödeme İste API çözümünü canlı ortama aldı. Uludağ Elektrik örneğinde müşteriler banka uygulamasından gelen ödeme talebini tek onayda tamamlayabiliyor.","Bu, KOBİ ve kurumsal tahsilat süreçlerini dijitalleştiren ve operasyonel verimliliği artıran somut bir ürün lansmanıdır; Akbank'ın benzer API tabanlı tahsilat çözümü sunup sunmadığının kontrol edilmesi gerekir.","Garanti BBVA, KOBİ ve ticari firmaların nakit akışını hızlandırmak ve ödeme başarısını artırmak için API-first bir yaklaşım benimsemiştir. Bu, gömülü finans ve dijital tahsilat alanında rakibin KOBİ segmentine yönelik stratejik konumlandırmasını göstermektedir.",Orta,BD Konuşma Notlarına Ekle,Orta,Yüksek,"[""Garanti BBVA, BKM entegrasyonlu Ödeme İste API'yi 21 Mayıs 2026'da canlı ortama aldı."", ""Uludağ Elektrik ile pilot uygulamada müşteriler banka uygulamasından gelen ödeme talebini tek onayda ödeyebiliyor."", ""API, FAST altyapısı ve Kolay Adres Sistemi (KOLAS) üzerinden çalışıyor."", ""Çözüm, firmalar için kendi sistemlerine entegre edilebilir ve Garanti BBVA Developer Portal üzerinden başvuru yapılabiliyor."", ""Hedef kitle: KOBİ, ticari ve kurumsal firmalar."", ""Amaç: Unutulan faturalar, otomatik ödeme başarısızlıkları ve manuel süreçlerden kaynaklanan aksaklıkları azaltmak.""]","[""Akbank'ın tahsilat API çözümü var mı ve ne kadar gelişmiş?"", ""Akbank'ın BKM/FAST entegrasyonu ve KOLAS desteği ne durumda?"", ""Garanti BBVA'nın bu çözümü kaç KOBİ müşterisi kullanıyor ve benimseme hızı nedir?"", ""Akbank'ın Developer Portal ve API ekosistemi KOBİ tahsilat için yeterli mi?""]",2026-06-10T12:36:06.445479+00:00,claude-haiku-4-5-20251001,Beklemede,,
SUM-98a26dbb161e,RI-cf2e45aea800,DOC-REG-003-20260609085925,REG-003,garanti_bbva,Garanti BBVA,Global Finance Türkiye’nin En İyi Bankası Ödülü,20 Mayıs 2026,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026,Kurumsal Konumlandırma,Diğer,Pazar Sinyali,Garanti BBVA Global Finance'tan Türkiye'nin En İyi Bankası Ödülü,"Garanti BBVA, Global Finance tarafından düzenlenen World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi. Ödül kârlılık, büyüme, inovasyon ve müşteri odaklılık kriterlerine dayalı olarak verildi.","Bu, Garanti BBVA'nın kurumsal itibar ve marka konumlandırması için önemli bir ödül olsa da, KOBİ segmenti için doğrudan ürün, hizmet, fiyatlandırma veya operasyonel bir değişiklik içermemektedir.","Gelişme, rakibin genel pazar konumlandırması ve yönetim düzeyinde marka güçlendirmesini yansıtır. KOBİ mevduat, krediler, ödemeler, nakit yönetimi veya dijital yolculuk açısından somut bir strateji sinyali taşımamaktadır.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,Yüksek,"[""Garanti BBVA, Global Finance World's Best Bank Awards 2026'da Türkiye'nin en iyi bankası seçildi"", ""Ödül 33. kez düzenlenen programda 150+ ülke ve bölgeden bankalar değerlendirildi"", ""Değerlendirme kriterleri: kârlılık, büyüme, stratejik vizyon, inovasyon, müşteri ihtiyaçlarına yanıt"", ""Garanti BBVA'nın 30 milyonu aşan müşteri tabanı ve 18 milyonu aşan aktif mobil müşterisi var"", ""Perakende satışların %89'u dijital kanallar üzerinden gerçekleştiriliyor"", ""2018-2029 döneminde 3, 5 trilyon TL sürdürülebilir finansman hedefi belirlendi""]","[""Bu ödülün Garanti BBVA'nın KOBİ segmentindeki ürün veya fiyatlandırma stratejisinde bir değişikliğe yol açıp açmayacağı"", ""Rakibin bu ödülü pazarlama kampanyalarında KOBİ müşterilerine karşı nasıl kullanacağı""]",2026-06-10T12:36:20.534467+00:00,claude-haiku-4-5-20251001,Beklemede,,
